p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:58 CONST:0.3 0.15 550 0.35 0.0005 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:112 1 0 0
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 53ms
build.js:112 2 40 206
build.js:112 3 40 206
build.js:112 4 41 204
build.js:112 5 41 204
build.js:112 6 43 201
build.js:112 7 43 201
build.js:112 8 43 199
build.js:112 9 43 199
build.js:112 10 44 198
build.js:112 11 45 197
build.js:112 12 44 196
build.js:112 13 45 195
build.js:112 14 45 194
build.js:112 15 45 194
build.js:112 16 45 193
build.js:112 17 46 191
build.js:112 18 47 190
build.js:112 19 47 190
build.js:112 20 47 190
build.js:112 21 46 189
build.js:112 22 47 188
build.js:112 23 48 187
build.js:112 24 48 187
build.js:112 25 48 187
build.js:112 26 48 187
build.js:112 27 48 186
build.js:112 28 48 185
build.js:112 29 48 186
build.js:112 30 49 184
build.js:112 31 49 183
build.js:112 32 49 183
build.js:112 33 49 183
build.js:112 34 50 181
build.js:112 35 51 180
build.js:112 36 51 178
build.js:112 37 51 178
build.js:112 38 52 177
build.js:112 39 52 176
build.js:112 40 53 175
build.js:112 41 53 175
build.js:112 42 53 175
build.js:112 43 54 173
build.js:112 44 54 173
build.js:112 45 54 172
build.js:112 46 54 172
build.js:112 47 54 172
build.js:112 48 54 173
build.js:112 49 54 172
build.js:112 50 54 172
build.js:112 51 54 172
build.js:112 52 55 171
build.js:112 53 55 171
build.js:112 54 55 171
build.js:112 55 56 170
build.js:112 56 56 170
build.js:112 57 56 170
build.js:112 58 56 169
build.js:112 59 56 169
build.js:112 60 56 169
build.js:112 61 56 170
build.js:112 62 56 169
build.js:112 63 56 169
build.js:112 64 56 168
build.js:112 65 56 168
build.js:112 66 57 166
build.js:112 67 57 164
build.js:112 68 58 163
build.js:112 69 58 161
build.js:112 70 58 161
build.js:112 71 59 160
build.js:112 72 59 160
build.js:112 73 59 160
build.js:112 74 59 160
build.js:112 75 59 160
build.js:112 76 59 159
build.js:112 77 60 158
build.js:112 78 60 158
build.js:112 79 60 158
build.js:112 80 61 157
build.js:112 81 61 157
build.js:112 82 61 157
build.js:112 83 61 157
build.js:112 84 61 157
build.js:112 85 61 156
build.js:112 86 61 157
build.js:112 87 62 156
build.js:112 88 62 157
build.js:112 89 63 156
build.js:112 90 63 154
build.js:112 91 63 153
build.js:112 92 64 152
build.js:112 93 64 151
build.js:112 94 64 150
build.js:112 95 63 150
build.js:112 96 65 148
build.js:112 97 65 148
build.js:112 98 65 148
build.js:112 99 65 148
build.js:112 100 65 147
build.js:112 101 65 147
build.js:112 102 65 147
build.js:112 103 65 147
build.js:112 104 65 147
build.js:112 105 65 147
build.js:112 106 65 148
build.js:112 107 65 148
build.js:112 108 65 148
build.js:112 109 65 149
build.js:112 110 65 149
build.js:112 111 65 149
build.js:112 112 65 149
build.js:112 113 65 149
build.js:112 114 65 149
build.js:112 115 65 149
build.js:112 116 65 149
build.js:112 117 65 149
build.js:112 118 65 148
build.js:112 119 64 146
build.js:112 120 66 144
build.js:112 121 66 143
build.js:112 122 65 142
build.js:112 123 66 140
build.js:112 124 66 141
build.js:112 125 66 140
build.js:112 126 67 139
build.js:112 127 67 139
build.js:112 128 67 139
build.js:112 129 67 137
build.js:112 130 68 136
build.js:112 131 68 136
build.js:112 132 68 136
build.js:112 133 68 136
build.js:112 134 69 135
build.js:112 135 69 134
build.js:112 136 69 134
build.js:112 137 69 133
build.js:112 138 69 133
build.js:112 139 67 132
build.js:112 140 69 131
build.js:112 141 69 130
build.js:112 142 69 130
build.js:112 143 69 130
build.js:112 144 68 129
build.js:112 145 69 128
build.js:112 146 69 128
build.js:112 147 69 128
build.js:112 148 69 128
build.js:112 149 69 128
build.js:112 150 69 128
build.js:112 151 69 128
build.js:112 152 69 128
build.js:112 153 69 128
build.js:112 154 69 128
build.js:112 155 70 127
build.js:112 156 71 127
build.js:112 157 71 127
build.js:112 158 71 127
build.js:112 159 71 127
build.js:112 160 71 127
build.js:112 161 71 127
build.js:112 162 71 127
build.js:112 163 71 127
