​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.95 250
​ [Violation] 'load' handler took 169ms
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1 0 0
​ 2 39 219
​ [Violation] 'requestAnimationFrame' handler took 56ms
​ 3 40 219
​ 4 40 222
​ 5 40 224
​ 6 40 225
​ 7 41 224
​ 8 41 223
​ 9 41 224
​ 10 41 225
​ 11 41 226
​ 12 41 227
​ 13 41 227
​ 14 41 228
​ 15 42 228
​ 16 42 228
​ 17 42 228
​ 18 42 230
​ 19 42 233
​ 20 42 235
​ 21 42 235
​ 22 42 235
​ 23 42 235
​ 24 42 235
​ 25 42 235
​ 26 42 236
​ 27 42 236
​ 28 42 235
​ 29 44 233
​ 30 44 234
​ 31 44 233
​ 32 44 233
​ 33 44 233
​ 34 44 233
​ 35 44 233
​ 36 44 233
​ 37 44 233
​ 38 44 233
​ 39 44 233
​ 40 44 233
​ 41 44 233
​ 42 44 233
​ 43 44 234
​ 44 44 234
​ 45 44 234
​ 46 44 233
​ 47 45 233
​ 48 45 233
​ 49 45 232
​ 50 46 231
​ 51 46 231
​ 52 47 231
​ 53 47 231
​ 54 47 230
​ 55 47 231
​ 56 47 229
​ 57 47 229
​ 58 47 229
​ 59 47 231
​ 60 47 232
​ 61 47 233
​ 62 48 231
​ 63 48 231
​ 64 48 232
​ 65 48 232
​ 66 48 232
​ 67 48 234
​ 68 48 234
​ 69 48 234
​ 70 48 234
​ 71 48 234
​ 72 48 234
​ 73 49 234
​ 74 50 233
​ 75 50 234
​ 76 50 234
​ 77 50 233
​ 78 51 230
​ 79 51 230
​ 80 51 230
​ 81 51 232
​ 82 51 232
​ 83 51 233
​ 84 51 232
​ 85 52 231
​ 86 52 232
​ 87 52 232
​ 88 52 232
​ 89 52 232
​ 90 53 231
​ 91 53 231
​ 92 53 231
​ 93 53 230
​ 94 53 232
​ 95 53 232
​ 96 53 233
​ 97 53 234
​ 98 53 234
​ 99 53 233
​ 100 53 232
​ 101 54 231
​ 102 54 232
​ 103 54 232
​ 104 54 232
​ 105 54 233
​ 106 54 233
​ 107 54 233
​ 108 54 233
​ 109 54 234
​ 110 53 234
​ 111 54 233
​ 112 54 234
​ 113 54 234
​ 114 54 236
​ 115 54 235
​ 116 54 235
​ 117 54 235
​ 118 54 235
​ 119 54 236
​ 120 55 237
​ 121 55 237
​ 122 55 237
​ 123 55 237
​ 124 55 238
​ 125 57 236
​ 126 58 235
​ 127 58 234
​ 128 58 234
​ 129 58 234
​ 130 58 234
​ 131 58 234
​ 132 58 235
​ 133 58 235
​ 134 58 235
​ 135 58 235
​ 136 58 235
​ 137 58 236
​ 138 58 236
​ 139 58 236
​ 140 58 236
​ 141 58 236
​ 142 58 236
​ 143 58 236
​ 144 58 237
​ 145 58 237
​ 146 58 237
​ 147 58 237
​ 148 58 237
​ 149 59 236
​ 150 59 236
​ 151 59 236
​ 152 59 236
​ 153 59 236
​ 154 59 236
​ 155 59 236
​ 156 59 236
​ 157 59 236
​ 158 59 236
​ 159 58 235
​ 160 59 234
​ 161 59 235
​ 162 59 235
​ 163 59 235
​ 164 59 235
​ 165 59 235
​ 166 59 234
​ 167 59 233
​ 168 59 233
​ 169 59 233
​ 170 60 232
​ 171 60 231
​ 172 60 230
​ 173 60 232
​ 174 61 230
​ 175 61 230
​ 176 61 230
​ 177 61 230
​ 178 61 232
​ 179 61 231
​ 180 62 231
​ 181 62 231
​ 182 62 231
​ 183 62 231
​ 184 62 232
​ 185 62 232
​ 186 62 232
​ 187 62 232
​ 188 62 233
​ 189 62 232
​ 190 62 232
​ 191 62 232
​ 192 63 231
​ 193 63 230
​ 194 63 230
​ 195 63 230
​ 196 63 229
​ 197 63 228
​ 198 63 227
​ 199 63 227
​ 200 63 227
​ 201 63 227
​ 202 63 227
​ 203 63 229
​ 204 63 229
​ 205 63 229
​ 206 63 229
​ 207 63 229
​ 208 63 229
​ 209 63 229
​ 210 63 228
​ 211 63 228
​ 212 63 229
​ 213 63 230
​ 214 63 230
​ 215 64 229
​ 216 64 229
​ 217 64 228
​ 218 64 228
​ 219 64 228
​ 220 64 228
​ 221 64 228
​ 222 65 228
​ 223 64 230
​ 224 65 228
​ [Violation] 'requestAnimationFrame' handler took 108ms
​ 225 65 228
​ 226 65 227
​ 227 65 227
​ 228 65 228
​ 229 65 228
​ 230 65 228
​ 231 65 227
​ 232 65 227
​ 233 65 227
​ 234 65 227
​ 235 65 230
​ 236 65 230
​ 237 65 231
​ 238 65 230
​ 239 65 230
​ 240 65 230
​ 241 65 230
​ 242 65 231
​ 243 65 233
​ 244 65 233
​ 245 65 233
​ 246 65 233
​ 247 65 234
​ 248 65 234
​ 249 65 234
​ 250 65 234
​ 251 65 234
​ 252 65 234
​ 253 65 234
​ 254 65 233
​ 255 65 232
​ 256 65 231
​ 257 65 230
​ 258 66 229
​ 259 66 227
​ 260 66 227
​ 261 66 227
​ 262 66 227
​ 263 68 224
​ 264 68 223
​ 265 67 223
​ 266 68 223
​ 267 68 224
​ 268 68 224
​ 269 68 224
​ 270 68 222
​ 271 69 221
​ 272 69 221
​ 273 69 219
​ 274 71 217
​ 275 71 218
​ 276 71 218
​ 277 71 218
​ 278 71 218
​ 279 71 220
​ 280 71 220
​ 281 71 218
​ 282 71 218
​ 283 71 217
​ 284 71 217
​ 285 71 215
​ 286 71 215
​ 287 71 216
​ 288 72 215
​ 289 72 215
​ 290 72 215
​ 291 72 215
​ 292 72 215
​ 293 72 215
​ 294 72 213
​ 295 72 212
​ 296 72 212
​ 297 72 212
​ 298 72 214
​ 299 71 214
​ 300 72 210
​ 301 73 208
​ 302 73 208
​ 303 74 206
​ 304 74 203
​ 305 74 204
​ 306 74 204
​ 307 74 204
​ 308 74 204
​ 309 74 204
​ 310 74 204
​ 311 73 205
​ 312 75 204
​ 313 76 202
​ 314 76 201
​ 315 77 199
​ 316 77 199
​ 317 78 197
​ 318 79 198
​ 319 79 195
​ 320 79 196
​ 321 81 194
​ 322 81 193
​ 323 81 193
​ 324 83 192
​ 325 83 194
​ 326 84 194
​ 327 84 194
​ 328 84 194
​ 329 84 194
​ 330 84 195
​ 331 84 194
​ 332 88 190
​ 333 88 192
​ 334 88 192
​ 335 88 194
​ 336 88 193
​ 337 88 193
​ 338 89 193
​ 339 90 191
​ 340 92 188
​ 341 91 188
​ 342 92 188
​ 343 91 188
​ 344 92 187
​ 345 92 186
​ 346 92 185
​ 347 92 184
​ 348 93 182
​ 349 92 182
​ 350 93 180
​ 351 93 181
​ 352 93 181
​ 353 95 179
​ 354 95 176
​ 355 96 174
​ 356 97 172
​ 357 98 170
​ 358 98 170
​ 359 98 172
​ 360 98 174
​ 361 98 173
​ 362 98 173
​ 363 98 174
​ 364 98 174
​ 365 98 174
​ 366 99 174
​ 367 101 172
​ 368 102 170
​ 369 103 170
​ 370 104 169
​ 371 104 170
​ 372 104 170
​ 373 104 170
​ 374 104 169
​ 375 105 167
​ 376 104 168
​ 377 105 168
​ 378 105 167
​ 379 106 166
​ 380 106 166
​ 381 106 167
​ 382 106 167
​ 383 105 170
​ 384 106 169
​ 385 107 168
​ 386 107 168
​ 387 108 167
​ 388 109 166
​ 389 109 166
​ 390 109 167
​ 391 109 166
​ 392 109 166
​ 393 109 167
​ 394 110 164
​ 395 111 163
​ 396 112 163
​ 397 112 162
​ 398 112 163
​ 399 112 162
​ 400 113 160
​ 401 113 160
​ 402 113 160
​ 403 113 159
​ 404 113 160
​ 405 114 159
​ 406 114 161
​ 407 114 162
​ 408 114 162
​ 409 115 159
​ 410 115 160
​ 411 115 159
​ 412 115 158
​ 413 115 157
​ 414 115 157
​ 415 115 157
​ 416 115 157
​ 417 115 157
​ 418 115 157
​ 419 115 157
​ 420 115 156
​ 421 115 156
​ 422 115 156
​ 423 115 155
​ 424 115 155
​ 425 115 154
​ 426 115 154
​ 427 116 154
​ 428 116 154
​ 429 116 155
​ 430 116 154
​ 431 117 154
​ 432 117 154
​ 433 117 155
​ 434 117 155
​ 435 117 155
​ 436 117 157
​ 437 118 155
​ 438 118 155
​ 439 118 155
​ 440 118 155
​ 441 117 154
​ 442 118 152
​ 443 119 151
​ 444 119 150
​ 445 120 149
​ 446 120 150
​ 447 119 150
​ 448 121 148
​ 449 121 148
​ 450 123 145
​ 451 124 143
​ 452 125 140
​ 453 124 140
​ 454 126 138
​ 455 127 137
​ 456 127 137
​ 457 127 135
​ 458 128 135
​ 459 129 134
​ 460 130 133
​ 461 130 134
​ 462 130 133
​ 463 130 133
​ 464 130 133
​ 465 130 133
​ 466 130 133
​ 467 130 133
​ 468 129 133
​ 469 130 132
​ 470 130 133
​ 471 130 133
​ 472 130 134
​ 473 130 133
​ 474 130 132
​ 475 130 132
​ 476 130 132
​ 477 130 132
​ 478 129 133
​ 479 132 130
​ 480 132 130
​ 481 132 130
​ 482 133 127
​ 483 133 128
​ 484 132 127
​ 485 133 128
​ 486 133 128
​ 487 133 129
​ 488 133 129
​ 489 134 128
​ 490 134 128
​ 491 134 128
​ 492 134 128
​ 493 134 128
​ 494 133 128
​ 495 134 127
​ 496 134 127
​ 497 134 128
​ 498 134 128
​ 499 134 129
​ 500 135 128
​ 501 136 128
​ 502 135 131
​ 503 136 130
​ 504 136 130
​ 505 136 129
​ 506 136 127
​ 507 137 126
​ 508 137 126
​ 509 137 124
​ 510 138 122
​ 511 138 122
​ 512 138 122
​ 513 138 122
​ 514 140 122
​ 515 140 122
​ 516 140 125
​ 517 140 125
​ 518 140 126
​ 519 140 126
​ 520 140 124
​ 521 139 122
​ 522 140 120
​ 523 141 119
​ 524 142 120
​ 525 142 119
​ 526 142 119
​ 527 142 119
​ 528 143 118
​ 529 142 118
​ 530 143 117
​ 531 143 115
​ 532 144 114
​ 533 144 114
​ 534 144 115
​ 535 145 115
​ 536 146 114
​ 537 147 113
​ 538 147 113
​ 539 147 113
