p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 CONST:0.3 0.15 550 0.35 0.95 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 52ms
build.js:110 2 37 227
build.js:110 3 37 228
build.js:110 4 37 229
build.js:110 5 37 230
build.js:110 6 37 229
build.js:110 7 37 230
build.js:110 8 37 231
build.js:110 9 38 231
build.js:110 10 39 230
build.js:110 11 39 229
build.js:110 12 39 229
build.js:110 13 39 232
build.js:110 14 39 235
build.js:110 15 39 236
build.js:110 16 39 237
build.js:110 17 39 237
build.js:110 18 39 239
build.js:110 19 39 239
build.js:110 20 39 239
build.js:110 21 39 239
build.js:110 22 39 239
build.js:110 23 39 239
build.js:110 24 39 239
build.js:110 25 39 242
build.js:110 26 39 242
build.js:110 27 39 242
build.js:110 28 39 243
build.js:110 29 39 244
build.js:110 30 39 245
build.js:110 31 39 246
build.js:110 32 39 246
build.js:110 33 39 246
build.js:110 34 39 246
build.js:110 35 39 247
build.js:110 36 39 247
build.js:110 37 39 248
build.js:110 38 39 248
build.js:110 39 39 248
build.js:110 40 39 249
build.js:110 41 39 249
build.js:110 42 39 249
build.js:110 43 39 249
build.js:110 44 39 249
build.js:110 45 39 249
build.js:110 46 39 250
build.js:110 47 39 250
build.js:110 48 39 251
build.js:110 49 39 251
build.js:110 50 39 252
build.js:110 51 39 252
build.js:110 52 39 252
build.js:110 53 39 251
build.js:110 54 39 251
build.js:110 55 39 251
build.js:110 56 39 252
build.js:110 57 39 252
build.js:110 58 39 251
build.js:110 59 39 251
build.js:110 60 39 251
build.js:110 61 39 251
build.js:110 62 39 250
build.js:110 63 39 250
build.js:110 64 39 250
build.js:110 65 39 250
build.js:110 66 39 250
build.js:110 67 39 250
build.js:110 68 40 250
build.js:110 69 40 251
build.js:110 70 39 250
build.js:110 71 40 250
build.js:110 72 40 250
build.js:110 73 40 252
build.js:110 74 40 252
build.js:110 75 40 252
build.js:110 76 40 252
build.js:110 77 40 252
build.js:110 78 40 252
build.js:110 79 40 252
build.js:110 80 40 251
build.js:110 81 40 251
build.js:110 82 40 251
build.js:110 83 40 251
build.js:110 84 40 251
build.js:110 85 40 251
build.js:110 86 40 250
build.js:110 87 40 250
build.js:110 88 40 250
build.js:110 89 40 250
build.js:110 90 40 250
build.js:110 91 40 250
build.js:110 92 40 251
build.js:110 93 40 251
build.js:110 94 40 251
build.js:110 95 40 251
build.js:110 96 40 251
build.js:110 97 40 250
build.js:110 98 40 250
build.js:110 99 40 250
build.js:110 100 40 250
build.js:110 101 40 249
build.js:110 102 40 250
build.js:110 103 40 249
build.js:110 104 41 248
build.js:110 105 41 246
build.js:110 106 41 246
build.js:110 107 41 247
build.js:110 108 41 246
build.js:110 109 42 245
build.js:110 110 42 245
build.js:110 111 42 246
build.js:110 112 42 245
build.js:110 113 42 246
build.js:110 114 42 247
build.js:110 115 42 247
build.js:110 116 42 247
build.js:110 117 42 247
build.js:110 118 42 247
build.js:110 119 42 247
build.js:110 120 41 248
build.js:110 121 42 247
build.js:110 122 42 247
build.js:110 123 42 247
build.js:110 124 42 247
build.js:110 125 42 247
build.js:110 126 42 248
build.js:110 127 42 247
build.js:110 128 42 247
build.js:110 129 42 247
build.js:110 130 42 247
build.js:110 131 42 247
build.js:110 132 42 247
build.js:110 133 42 247
build.js:110 134 42 247
build.js:110 135 42 246
build.js:110 136 42 246
build.js:110 137 42 246
build.js:110 138 42 246
build.js:110 139 42 246
build.js:110 140 42 246
build.js:110 141 42 247
build.js:110 142 42 247
build.js:110 143 42 247
build.js:110 144 42 248
build.js:110 145 42 248
build.js:110 146 42 249
build.js:110 147 42 249
