[Violation] Forced reflow while executing JavaScript took 87ms
p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 CONST:0.3 0.15 550 0.35 0.95 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
build.js:110 2 40 220
build.js:110 3 40 222
build.js:110 4 40 222
build.js:110 5 41 223
build.js:110 6 41 223
build.js:110 7 41 225
build.js:110 8 41 225
build.js:110 9 41 227
build.js:110 10 41 227
build.js:110 11 41 227
build.js:110 12 41 227
build.js:110 13 41 229
build.js:110 14 41 231
build.js:110 15 41 231
build.js:110 16 41 231
build.js:110 17 41 231
build.js:110 18 41 231
build.js:110 19 41 231
build.js:110 20 41 231
build.js:110 21 42 230
build.js:110 22 42 230
build.js:110 23 42 231
build.js:110 24 42 231
build.js:110 25 42 231
build.js:110 26 42 232
build.js:110 27 42 233
build.js:110 28 42 233
build.js:110 29 42 233
build.js:110 30 42 233
build.js:110 31 42 233
build.js:110 32 42 234
build.js:110 33 42 234
build.js:110 34 42 234
build.js:110 35 42 235
build.js:110 36 42 236
build.js:110 37 42 237
build.js:110 38 42 237
build.js:110 39 43 236
build.js:110 40 43 236
build.js:110 41 43 236
build.js:110 42 43 236
build.js:110 43 43 237
build.js:110 44 43 238
build.js:110 45 45 236
build.js:110 46 45 236
build.js:110 47 45 237
build.js:110 48 45 238
build.js:110 49 45 238
build.js:110 50 45 238
build.js:110 51 45 238
build.js:110 52 45 238
build.js:110 53 45 238
build.js:110 54 45 238
build.js:110 55 45 239
build.js:110 56 45 240
build.js:110 57 45 240
build.js:110 58 45 240
build.js:110 59 45 241
build.js:110 60 45 241
build.js:110 61 45 241
build.js:110 62 45 242
build.js:110 63 45 243
build.js:110 64 46 241
build.js:110 65 46 241
build.js:110 66 46 242
build.js:110 67 46 242
build.js:110 68 46 242
build.js:110 69 46 242
build.js:110 70 46 242
build.js:110 71 46 241
build.js:110 72 46 241
build.js:110 73 46 241
build.js:110 74 46 241
build.js:110 75 46 241
build.js:110 76 46 241
build.js:110 77 46 241
build.js:110 78 47 240
build.js:110 79 48 237
build.js:110 80 48 237
build.js:110 81 48 237
build.js:110 82 48 237
build.js:110 83 48 236
build.js:110 84 48 236
build.js:110 85 48 236
build.js:110 86 48 237
build.js:110 87 49 236
build.js:110 88 49 237
build.js:110 89 49 237
build.js:110 90 49 236
build.js:110 91 49 236
build.js:110 92 50 235
build.js:110 93 50 234
build.js:110 94 50 235
build.js:110 95 50 236
build.js:110 96 50 238
build.js:110 97 49 238
build.js:110 98 50 237
build.js:110 99 50 237
build.js:110 100 50 237
build.js:110 101 50 238
build.js:110 102 50 238
build.js:110 103 50 238
build.js:110 104 50 238
build.js:110 105 50 238
build.js:110 106 50 238
build.js:110 107 50 239
build.js:110 108 50 238
build.js:110 109 50 239
build.js:110 110 50 239
build.js:110 111 50 239
build.js:110 112 50 239
build.js:110 113 50 239
build.js:110 114 50 239
build.js:110 115 50 239
build.js:110 116 50 238
build.js:110 117 50 238
build.js:110 118 50 238
build.js:110 119 50 239
build.js:110 120 50 239
build.js:110 121 50 238
build.js:110 122 50 238
build.js:110 123 50 238
build.js:110 124 51 237
build.js:110 125 52 235
build.js:110 126 52 235
build.js:110 127 52 236
build.js:110 128 52 237
build.js:110 129 52 237
build.js:110 130 52 237
build.js:110 131 52 237
build.js:110 132 52 237
build.js:110 133 52 237
build.js:110 134 52 237
build.js:110 135 52 235
build.js:110 136 52 234
build.js:110 137 52 233
build.js:110 138 52 233
build.js:110 139 52 233
build.js:110 140 52 233
build.js:110 141 52 232
build.js:110 142 52 232
build.js:110 143 52 233
build.js:110 144 52 232
build.js:110 145 52 232
build.js:110 146 52 232
build.js:110 147 52 233
build.js:110 148 52 234
build.js:110 149 52 234
build.js:110 150 52 234
build.js:110 151 52 234
build.js:110 152 52 234
build.js:110 153 52 234
build.js:110 154 52 234
build.js:110 155 52 234
build.js:110 156 52 234
build.js:110 157 52 235
build.js:110 158 53 234
build.js:110 159 53 234
build.js:110 160 53 233
build.js:110 161 53 233
build.js:110 162 54 230
build.js:110 163 54 231
build.js:110 164 53 230
build.js:110 165 54 229
build.js:110 166 54 229
build.js:110 167 54 229
build.js:110 168 54 229
build.js:110 169 54 229
build.js:110 170 54 229
build.js:110 171 54 230
build.js:110 172 54 230
build.js:110 173 54 230
build.js:110 174 54 230
build.js:110 175 54 230
build.js:110 176 54 230
build.js:110 177 54 230
build.js:110 178 55 230
