​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ NONE 0.15 550 0.35 0.95 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1 0 0
​ [Violation] 'requestAnimationFrame' handler took 52ms
​ 2 44 214
​ 3 44 217
​ 4 43 216
​ 5 44 217
​ 6 44 217
​ 7 44 217
​ 8 44 218
​ 9 44 219
​ 10 44 221
​ 11 44 224
​ 12 45 224
​ 13 45 224
​ 14 45 225
​ 15 45 225
​ 16 45 226
​ 17 45 226
​ 18 45 226
​ 19 45 228
​ 20 45 228
​ 21 45 229
​ 22 45 229
​ 23 45 229
​ 24 47 228
​ 25 48 228
​ 26 48 233
​ 27 48 234
​ 28 48 237
​ 29 48 238
​ 30 48 238
​ 31 48 239
​ 32 48 240
​ 33 48 240
​ 34 48 241
​ 35 48 240
​ 36 48 241
​ 37 49 240
​ 38 48 240
​ 39 49 240
​ 40 49 240
​ 41 49 240
​ 42 49 239
​ 43 49 241
​ 44 49 241
​ 45 49 241
​ 46 49 241
​ 47 49 240
​ 48 49 240
​ 49 48 240
​ 50 49 240
​ 51 49 240
​ 52 49 241
​ 53 49 241
​ 54 49 242
​ 55 49 242
​ 56 49 243
​ 57 49 243
​ 58 49 243
​ 59 49 244
​ 60 49 244
​ 61 49 244
​ 62 49 245
​ 63 49 246
​ 64 49 246
​ 65 49 246
​ 66 49 247
​ 67 49 247
​ 68 49 247
​ 69 50 246
​ 70 50 246
​ 71 51 245
​ 72 51 244
​ 73 53 242
​ 74 53 242
​ 75 53 242
​ 76 53 245
​ 77 54 242
​ 78 54 242
​ 79 54 242
​ 80 54 241
​ 81 54 242
​ 82 55 241
​ 83 55 240
​ 84 55 239
​ 85 55 239
​ 86 55 239
​ 87 55 239
​ 88 56 240
​ 89 56 240
​ 90 56 242
​ 91 56 242
​ 92 56 242
​ 93 57 241
​ 94 58 241
​ 95 58 240
​ 96 58 240
​ 97 58 240
​ 98 58 240
​ 99 58 241
​ 100 58 241
​ 101 58 241
​ 102 58 240
​ 103 57 241
​ 104 58 240
​ 105 58 239
​ 106 58 241
​ 107 59 241
​ 108 59 242
​ 109 60 242
​ 110 60 242
​ 111 60 242
​ 112 60 242
​ 113 60 242
​ 114 60 241
​ 115 61 240
​ 116 61 239
​ 117 61 239
​ 118 62 237
​ 119 62 237
​ 120 62 236
​ 121 61 236
​ 122 62 236
​ 123 62 234
​ 124 62 234
​ 125 62 235
​ 126 62 235
​ 127 63 234
​ 128 63 234
​ 129 63 234
​ 130 63 234
​ 131 63 234
​ 132 63 234
​ 133 63 234
​ 134 63 234
​ 135 63 234
​ 136 63 234
​ 137 63 235
​ 138 65 232
​ 139 65 231
​ 140 65 230
​ 141 65 230
​ 142 65 230
​ 143 65 230
​ 144 65 230
​ 145 65 230
​ 146 65 230
​ 147 65 230
​ 148 65 230
​ 149 65 230
​ 150 65 232
​ 151 66 231
​ 152 66 232
​ 153 66 232
​ [Violation] 'requestAnimationFrame' handler took 60ms
​ 154 66 232
​ 155 66 232
​ 156 66 233
​ 157 66 233
​ 158 66 233
​ 159 67 233
​ 160 67 233
​ 161 67 233
​ 162 68 232
​ 163 68 232
​ 164 68 232
​ 165 67 232
​ 166 68 231
​ 167 68 232
​ 168 68 233
​ 169 68 233
​ 170 68 233
​ 171 68 233
​ 172 68 233
​ 173 68 233
​ 174 68 233
​ 175 68 233
​ 176 68 234
​ 177 69 233
​ 178 69 233
​ 179 69 233
​ 180 69 232
​ 181 69 232
​ 182 69 232
​ 183 70 232
​ 184 69 231
​ 185 70 231
​ 186 70 230
​ 187 70 230
​ 188 70 230
​ 189 70 229
​ 190 70 229
​ 191 70 229
​ 192 70 228
​ 193 70 227
​ 194 70 227
​ 195 70 227
​ 196 70 228
​ 197 70 229
​ 198 70 229
​ 199 70 229
​ 200 70 229
​ 201 70 229
​ 202 70 230
​ 203 71 228
​ 204 71 229
​ 205 72 226
​ 206 72 225
​ 207 73 224
​ 208 73 224
​ 209 74 223
​ 210 74 222
​ 211 76 220
​ 212 76 220
​ 213 76 220
​ 214 76 220
​ 215 76 220
​ 216 76 220
​ 217 76 221
​ 218 76 221
​ 219 76 221
​ 220 76 220
​ 221 77 218
​ 222 77 218
​ 223 77 218
​ 224 79 215
​ 225 79 216
​ 226 79 215
​ 227 81 213
​ 228 81 216
​ 229 81 215
​ 230 81 216
​ 231 81 216
build.js:110 232 81 215
build.js:110 233 81 214
build.js:110 234 81 214
