​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ NONE 0.15 550 0.35 0.95 250
[Violation] Forced reflow while executing JavaScript took 45ms
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1 0 0
​ [Violation] 'requestAnimationFrame' handler took 61ms
​ 2 38 224
​ 3 38 226
​ 4 38 227
​ 5 38 228
​ 6 38 230
​ 7 38 232
​ 8 38 233
​ 9 38 233
​ 10 38 236
​ 11 38 236
​ 12 38 236
​ 13 38 235
​ 14 39 233
​ 15 39 235
​ 16 39 236
​ 17 39 236
​ 18 39 237
​ 19 39 236
​ 20 39 237
​ 21 39 237
​ 22 39 237
​ 23 39 238
​ 24 39 237
​ 25 39 238
​ 26 39 238
​ 27 39 238
​ 28 39 238
​ 29 39 238
​ 30 39 238
​ 31 39 237
​ 32 39 238
​ 33 38 238
​ [Violation] 'requestAnimationFrame' handler took 52ms
​ 34 39 238
​ 35 39 238
​ 36 39 238
​ 37 39 238
​ 38 39 238
​ 39 39 238
​ 40 39 239
​ 41 39 239
​ 42 39 239
​ 43 39 239
​ 44 39 240
​ 45 39 240
​ 46 39 242
​ 47 39 242
​ 48 39 242
​ 49 39 242
​ 50 39 243
​ 51 39 243
​ 52 40 242
​ 53 40 242
​ 54 40 242
​ 55 40 242
​ 56 40 243
​ 57 40 245
​ 58 40 246
​ 59 40 246
​ 60 40 246
​ 61 40 246
​ 62 40 246
​ 63 40 249
​ 64 40 248
​ 65 40 248
​ 66 40 248
​ 67 40 248
​ 68 40 249
​ 69 41 248
​ 70 41 249
​ 71 41 249
​ 72 41 249
​ 73 41 249
​ 74 41 249
​ 75 41 248
​ 76 41 248
​ 77 41 248
​ 78 41 248
​ 79 41 248
​ 80 41 249
​ 81 41 250
​ 82 41 250
​ 83 41 250
​ 84 41 250
​ 85 41 251
​ 86 42 251
​ 87 42 251
​ 88 42 252
​ 89 42 252
​ 90 42 252
​ 91 42 250
​ 92 42 251
​ 93 42 251
​ 94 42 251
​ 95 42 251
​ 96 42 251
​ 97 42 250
​ 98 42 251
​ 99 42 250
​ 100 42 250
​ 101 42 250
​ 102 42 250
​ 103 42 250
​ 104 42 250
​ 105 42 249
​ 106 42 249
​ 107 42 250
​ 108 42 251
​ 109 42 251
​ 110 42 249
​ 111 42 249
​ 112 42 249
​ 113 42 249
​ 114 42 248
​ 115 42 248
​ 116 42 248
​ 117 44 246
​ 118 44 245
​ 119 44 245
​ 120 46 244
​ 121 46 244
​ 122 46 244
​ 123 46 245
​ 124 47 244
​ 125 47 244
​ 126 47 244
​ 127 47 244
​ 128 47 244
​ 129 47 243
​ 130 47 243
​ 131 47 243
​ 132 47 243
​ 133 47 242
​ 134 47 242
​ 135 48 241
​ 136 48 239
​ 137 48 240
​ 138 48 240
​ 139 48 240
​ 140 48 240
​ 141 49 239
​ 142 49 239
​ 143 49 239
​ 144 49 239
​ 145 49 239
​ 146 49 239
​ 147 49 239
​ 148 49 239
​ 149 49 239
​ 150 49 239
​ 151 49 239
​ 152 50 238
​ 153 50 238
​ 154 50 239
​ 155 50 239
​ 156 50 241
​ 157 50 241
​ 158 50 241
​ 159 50 240
​ 160 50 241
​ 161 50 241
​ 162 50 241
​ 163 50 241
​ 164 50 241
​ 165 50 240
​ 166 50 241
​ 167 50 241
​ 168 50 241
​ 169 50 241
​ 170 50 241
​ 171 50 241
​ 172 51 240
​ 173 51 240
​ 174 51 239
​ 175 51 239
​ 176 51 239
​ 177 51 239
​ 178 52 237
​ 179 52 238
​ 180 52 238
​ 181 52 237
​ 182 53 236
​ 183 53 236
​ 184 53 236
​ 185 53 236
​ 186 53 236
​ 187 53 236
​ 188 53 235
​ 189 53 235
​ 190 53 236
​ 191 53 236
​ 192 53 235
​ 193 53 235
​ 194 53 235
​ 195 53 236
​ 196 53 236
​ 197 54 235
​ 198 54 235
​ 199 54 235
​ 200 56 233
​ 201 56 233
​ 202 56 233
​ 203 56 232
​ 204 56 232
​ 205 56 232
​ 206 57 231
​ 207 57 230
​ 208 57 230
​ 209 57 230
​ 210 57 230
​ 211 57 229
​ 212 57 228
​ 213 58 227
​ 214 58 227
​ 215 58 226
​ 216 58 224
​ 217 58 225
​ 218 59 223
​ 219 59 223
​ 220 59 223
​ 221 59 223
​ 222 59 223
​ 223 59 222
​ 224 59 222
​ 225 59 221
​ 226 59 221
​ 227 59 221
​ 228 59 221
​ 229 60 221
​ 230 60 221
​ 231 60 221
​ 232 60 221
​ 233 60 222
​ 234 60 222
​ 235 61 221
​ 236 61 221
​ 237 62 220
​ 238 63 219
​ 239 63 219
​ 240 64 218
​ 241 64 219
​ 242 64 221
​ 243 64 222
​ 244 64 222
​ 245 64 222
​ 246 64 222
​ 247 64 222
​ 248 64 222
​ 249 64 223
​ 250 64 223
​ 251 64 223
​ 252 64 223
​ 253 64 224
​ 254 64 223
​ 255 64 224
​ 256 64 224
​ 257 64 224
​ 258 64 224
​ 259 65 223
​ 260 66 223
​ 261 66 224
​ 262 66 223
​ 263 66 223
​ 264 66 223
​ 265 66 223
​ 266 66 223
​ 267 66 223
​ 268 66 222
​ 269 66 222
​ 270 66 221
​ 271 66 222
​ 272 67 221
​ 273 67 221
​ 274 66 222
​ 275 68 220
​ 276 68 218
​ 277 68 218
​ 278 68 218
​ 279 68 220
​ 280 68 218
​ 281 69 217
​ 282 70 216
​ 283 70 215
​ 284 70 215
​ 285 70 214
​ 286 70 214
​ 287 70 214
​ 288 70 214
​ 289 71 213
​ 290 72 213
​ 291 73 212
​ 292 73 211
​ 293 73 211
​ 294 74 207
​ 295 74 208
​ 296 74 208
​ 297 74 209
​ 298 74 209
​ 299 74 209
​ 300 76 207
​ 301 77 205
​ 302 77 203
​ 303 77 204
​ 304 77 204
​ 305 77 203
​ 306 77 203
​ 307 78 202
​ 308 78 201
​ 309 78 201
​ 310 78 201
​ 311 78 201
​ 312 78 200
​ 313 78 201
​ 314 78 201
​ 315 79 200
​ 316 79 198
​ 317 80 197
​ 318 80 197
​ 319 80 198
​ 320 80 198
​ 321 80 198
​ 322 80 198
​ 323 82 196
​ 324 82 196
​ 325 82 195
​ 326 82 194
​ 327 82 193
​ 328 82 194
​ 329 82 194
​ 330 82 194
​ 331 82 194
​ 332 82 194
​ 333 83 193
​ 334 83 193
​ 335 84 192
​ 336 84 193
​ 337 83 193
​ 338 84 191
​ 339 84 190
​ 340 84 189
​ 341 84 189
​ 342 84 189
​ 343 84 189
​ 344 84 190
​ 345 84 189
​ 346 84 189
​ 347 84 189
​ 348 84 189
​ 349 84 189
​ 350 83 190
​ 351 84 189
​ 352 84 189
​ 353 85 188
​ 354 85 189
​ 355 85 190
​ 356 85 192
​ 357 85 193
​ 358 85 193
​ 359 85 193
​ 360 85 193
​ 361 86 192
​ 362 86 192
​ 363 85 189
​ 364 86 188
​ 365 86 188
​ 366 86 190
​ 367 87 190
​ 368 87 191
​ 369 87 190
​ 370 87 189
​ 371 87 188
​ 372 87 188
​ 373 87 188
​ 374 87 187
​ 375 86 188
​ 376 87 188
​ 377 87 188
​ 378 87 188
​ 379 88 187
​ 380 89 186
​ 381 89 185
​ 382 90 183
​ 383 90 183
​ 384 90 183
​ 385 90 184
​ 386 91 184
​ 387 92 182
​ 388 92 182
​ 389 92 182
​ 390 92 182
​ 391 92 182
​ 392 92 181
​ 393 92 180
​ 394 93 179
​ 395 93 178
​ 396 94 177
