p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 NONE 0.15 550 0.35 0.95 250
p5.js:58331 [Violation] 'load' handler took 157ms
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 134ms
build.js:110 2 54 203
build.js:110 3 54 203
build.js:110 4 54 202
build.js:110 5 54 202
build.js:110 6 54 205
build.js:110 7 53 206
build.js:110 8 55 205
build.js:110 9 56 209
build.js:110 10 57 208
build.js:110 11 57 209
build.js:110 12 57 210
build.js:110 13 57 209
build.js:110 14 57 209
build.js:110 15 57 209
build.js:110 16 57 209
build.js:110 17 58 208
build.js:110 18 58 210
build.js:110 19 59 210
build.js:110 20 59 210
build.js:110 21 59 210
build.js:110 22 59 210
build.js:110 23 60 209
build.js:110 24 60 210
build.js:110 25 60 212
build.js:110 26 60 212
build.js:110 27 60 211
build.js:110 28 60 211
build.js:110 29 60 210
build.js:110 30 60 209
build.js:110 31 60 209
build.js:110 32 60 210
build.js:110 33 61 212
build.js:110 34 61 211
build.js:110 35 61 211
build.js:110 36 61 211
build.js:110 37 60 210
build.js:110 38 61 210
build.js:110 39 61 209
build.js:110 40 61 210
build.js:110 41 61 211
build.js:110 42 62 210
build.js:110 43 62 210
build.js:110 44 62 210
build.js:110 45 62 210
build.js:110 46 62 209
build.js:110 47 62 208
build.js:110 48 62 208
build.js:110 49 62 210
build.js:110 50 62 210
build.js:110 51 62 210
build.js:110 52 62 210
build.js:110 53 62 210
build.js:110 54 62 210
build.js:110 55 62 210
build.js:110 56 63 210
build.js:110 57 63 212
build.js:110 58 63 212
build.js:110 59 64 211
build.js:110 60 64 211
build.js:110 61 64 211
build.js:110 62 64 211
build.js:110 63 64 213
build.js:110 64 64 213
build.js:110 65 64 213
build.js:110 66 64 213
build.js:110 67 64 212
build.js:110 68 65 212
build.js:110 69 65 212
build.js:110 70 65 212
build.js:110 71 65 212
build.js:110 72 65 212
build.js:110 73 66 211
build.js:110 74 66 211
build.js:110 75 66 212
build.js:110 76 65 212
build.js:110 77 66 210
build.js:110 78 66 210
build.js:110 79 66 211
build.js:110 80 66 212
build.js:110 81 66 213
build.js:110 82 66 213
build.js:110 83 66 213
build.js:110 84 66 213
build.js:110 85 67 212
build.js:110 86 69 210
build.js:110 87 69 210
build.js:110 88 69 208
build.js:110 89 70 207
build.js:110 90 70 206
build.js:110 91 70 206
build.js:110 92 70 206
build.js:110 93 70 206
build.js:110 94 72 204
build.js:110 95 72 206
build.js:110 96 72 206
build.js:110 97 73 205
build.js:110 98 73 202
build.js:110 99 73 202
build.js:110 100 73 202
build.js:110 101 73 202
build.js:110 102 73 202
build.js:110 103 73 202
build.js:110 104 73 202
build.js:110 105 72 202
​ 106 73 201
​ 107 73 202
​ 108 73 202
​ 109 73 202
​ 110 73 202
​ 111 73 203
​ 112 73 204
​ 113 73 204
​ 114 73 204
​ 115 72 204
​ 116 73 205
​ 117 73 205
​ 118 73 205
​ 119 73 205
​ 120 74 205
​ 121 74 205
​ 122 74 204
​ 123 73 204
​ 124 74 202
​ 125 75 202
​ 126 75 201
​ 127 75 202
​ 128 75 200
​ 129 75 201
​ 130 74 200
​ 131 75 200
​ 132 75 199
​ 133 75 199
​ 134 75 199
​ 135 75 199
​ 136 75 199
​ 137 75 200
​ 138 75 200
​ 139 75 201
​ 140 75 203
​ 141 75 203
​ 142 75 204
​ 143 75 204
​ 144 75 205
​ 145 75 205
​ 146 75 206
​ 147 76 205
​ 148 76 204
​ 149 76 204
​ 150 76 204
​ 151 75 204
​ 152 76 204
​ 153 76 204
​ 154 76 204
​ 155 76 205
​ 156 76 205
​ 157 76 204
​ 158 76 203
​ 159 76 203
​ 160 77 202
​ 161 77 202
​ 162 77 202
​ 163 77 201
​ 164 77 201
​ 165 77 202
​ 166 77 201
​ 167 77 201
​ 168 77 202
​ 169 78 201
​ 170 78 201
​ 171 79 200
​ 172 79 201
​ 173 79 203
​ 174 79 203
​ 175 79 204
​ 176 79 204
​ 177 79 204
​ 178 78 205
​ 179 79 204
​ 180 79 205
​ 181 79 206
​ 182 80 206
​ 183 80 206
​ 184 82 205
​ 185 82 205
​ 186 82 204
​ 187 82 203
​ 188 83 200
​ 189 84 198
​ 190 84 198
​ 191 83 197
​ 192 84 197
​ 193 84 196
​ 194 84 196
​ 195 84 197
build.js:110 196 84 198
build.js:110 197 84 198
build.js:110 198 84 198
build.js:110 199 84 198
build.js:110 200 84 198
build.js:110 201 84 200
build.js:110 202 84 200
build.js:110 203 84 200
build.js:110 204 84 200
build.js:110 205 84 200
build.js:110 206 84 200
build.js:110 207 84 200
build.js:110 208 84 200
build.js:110 209 84 200
build.js:110 210 84 199
build.js:110 211 84 200
build.js:110 212 84 200
build.js:110 213 84 201
build.js:110 214 85 199
build.js:110 215 85 198
build.js:110 216 85 199
build.js:110 217 86 200
build.js:110 218 86 200
build.js:110 219 86 200
build.js:110 220 86 200
build.js:110 221 86 201
build.js:110 222 86 201
build.js:110 223 86 202
build.js:110 224 87 201
build.js:110 225 87 203
build.js:110 226 87 202
build.js:110 227 87 202
build.js:110 228 87 203
build.js:110 229 88 202
build.js:110 230 89 201
build.js:110 231 89 201
build.js:110 232 89 201
build.js:110 233 90 200
build.js:110 234 90 200
build.js:110 235 90 200
build.js:110 236 90 200
build.js:110 237 90 200
build.js:110 238 90 200
build.js:110 239 90 201
build.js:110 240 90 201
build.js:110 241 90 201
build.js:110 242 89 200
build.js:110 243 91 197
build.js:110 244 91 197
build.js:110 245 91 197
build.js:110 246 91 198
build.js:110 247 91 198
build.js:110 248 91 198
build.js:110 249 91 197
build.js:110 250 92 195
build.js:110 251 93 194
build.js:110 252 93 191
build.js:110 253 93 191
build.js:110 254 93 191
build.js:110 255 93 191
build.js:110 256 93 191
build.js:110 257 92 191
build.js:110 258 93 189
build.js:110 259 93 189
build.js:110 260 92 188
build.js:110 261 95 184
build.js:110 262 96 183
build.js:110 263 96 182
build.js:110 264 96 182
build.js:110 265 96 182
build.js:110 266 96 182
build.js:110 267 96 182
build.js:110 268 96 181
build.js:110 269 96 180
build.js:110 270 96 180
build.js:110 271 96 181
build.js:110 272 96 181
build.js:110 273 96 181
build.js:110 274 96 182
build.js:110 275 96 181
build.js:110 276 96 181
build.js:110 277 96 181
build.js:110 278 96 181
build.js:110 279 96 182
build.js:110 280 96 182
build.js:110 281 97 181
build.js:110 282 97 179
build.js:110 283 97 178
build.js:110 284 97 177
build.js:110 285 97 177
build.js:110 286 97 177
build.js:110 287 97 177
build.js:110 288 97 177
build.js:110 289 97 177
build.js:110 290 97 177
build.js:110 291 97 176
build.js:110 292 100 173
build.js:110 293 100 171
build.js:110 294 100 171
build.js:110 295 100 172
build.js:110 296 100 171
build.js:110 297 100 172
build.js:110 298 100 171
build.js:110 299 101 171
build.js:110 300 101 172
build.js:110 301 101 172
build.js:110 302 101 172
build.js:110 303 101 171
build.js:110 304 102 170
build.js:110 305 103 169
build.js:110 306 103 170
build.js:110 307 103 170
build.js:110 308 103 170
build.js:110 309 104 168
build.js:110 310 104 168
build.js:110 311 104 169
build.js:110 312 105 168
build.js:110 313 105 169
build.js:110 314 105 169
build.js:110 315 105 169
build.js:110 316 105 169
build.js:110 317 105 169
build.js:110 318 105 170
build.js:110 319 106 168
build.js:110 320 106 167
build.js:110 321 106 167
build.js:110 322 106 167
build.js:110 323 106 167
build.js:110 324 106 168
build.js:110 325 106 167
build.js:110 326 106 167
build.js:110 327 106 167
build.js:110 328 106 168
build.js:110 329 107 166
build.js:110 330 107 165
build.js:110 331 107 165
build.js:110 332 107 165
build.js:110 333 107 165
build.js:110 334 107 164
build.js:110 335 107 163
build.js:110 336 107 162
build.js:110 337 107 160
build.js:110 338 107 161
build.js:110 339 107 160
build.js:110 340 107 159
build.js:110 341 107 159
build.js:110 342 107 158
build.js:110 343 106 158
build.js:110 344 107 157
build.js:110 345 108 156
build.js:110 346 108 155
build.js:110 347 108 155
build.js:110 348 108 154
build.js:110 349 108 153
build.js:110 350 108 153
build.js:110 351 108 155
build.js:110 352 108 153
build.js:110 353 110 152
build.js:110 354 110 152
build.js:110 355 111 151
build.js:110 356 111 150
build.js:110 357 111 150
build.js:110 358 111 149
build.js:110 359 112 148
build.js:110 360 112 148
build.js:110 361 114 144
build.js:110 362 114 144
build.js:110 363 114 142
build.js:110 364 116 140
build.js:110 365 118 137
build.js:110 366 118 136
build.js:110 367 118 136
build.js:110 368 119 135
build.js:110 369 119 135
build.js:110 370 119 135
build.js:110 371 119 134
build.js:110 372 119 134
build.js:110 373 119 134
build.js:110 374 119 133
build.js:110 375 119 135
build.js:110 376 119 136
build.js:110 377 119 136
build.js:110 378 120 133
build.js:110 379 121 131
build.js:110 380 121 132
build.js:110 381 121 130
build.js:110 382 121 131
build.js:110 383 122 129
build.js:110 384 122 128
build.js:110 385 122 129
build.js:110 386 123 128
build.js:110 387 123 129
build.js:110 388 123 129
build.js:110 389 123 130
build.js:110 390 124 129
build.js:110 391 124 128
build.js:110 392 125 127
build.js:110 393 125 126
build.js:110 394 125 128
build.js:110 395 125 127
build.js:110 396 125 127
build.js:110 397 125 127
build.js:110 398 126 125
build.js:110 399 126 126
build.js:110 400 126 126
build.js:110 401 126 126
build.js:110 402 126 126
build.js:110 403 126 126
build.js:110 404 126 125
build.js:110 405 125 125
build.js:110 406 126 122
build.js:110 407 126 121
build.js:110 408 126 123
build.js:110 409 126 123
build.js:110 410 127 122
build.js:110 411 127 121
build.js:110 412 127 120
build.js:110 413 127 121
build.js:110 414 128 118
build.js:110 415 128 119
build.js:110 416 128 120
build.js:110 417 127 118
build.js:110 418 128 116
build.js:110 419 128 115
build.js:110 420 128 115
build.js:110 421 128 115
build.js:110 422 128 115
build.js:110 423 129 115
build.js:110 424 129 113
build.js:110 425 130 112
build.js:110 426 130 111
build.js:110 427 130 111
build.js:110 428 131 110
build.js:110 429 130 110
build.js:110 430 132 108
build.js:110 431 132 107
build.js:110 432 132 107
build.js:110 433 132 106
build.js:110 434 133 101
build.js:110 435 133 102
build.js:110 436 132 102
build.js:110 437 132 102
build.js:110 438 133 101
build.js:110 439 133 100
build.js:110 440 133 100
build.js:110 441 133 100
build.js:110 442 133 100
build.js:110 443 133 100
build.js:110 444 135 99
build.js:110 445 135 99
build.js:110 446 139 96
build.js:110 447 139 95
build.js:110 448 139 95
build.js:110 449 139 95
build.js:110 450 139 94
build.js:110 451 139 93
build.js:110 452 139 94
build.js:110 453 139 94
build.js:110 454 139 93
build.js:110 455 139 93
build.js:110 456 139 93
build.js:110 457 139 93
build.js:110 458 139 93
build.js:110 459 140 91
build.js:110 460 140 91
build.js:110 461 140 90
build.js:110 462 140 89
build.js:110 463 140 89
build.js:110 464 140 89
build.js:110 465 140 89
build.js:110 466 140 89
build.js:110 467 140 89
build.js:110 468 140 89
build.js:110 469 140 89
build.js:110 470 140 89
build.js:110 471 140 88
build.js:110 472 140 89
build.js:110 473 139 89
build.js:110 474 139 88
build.js:110 475 140 87
build.js:110 476 141 86
build.js:110 477 141 86
build.js:110 478 141 86
build.js:110 479 140 86
build.js:110 480 141 86
build.js:110 481 142 85
build.js:110 482 142 84
build.js:110 483 142 84
build.js:110 484 142 84
build.js:110 485 143 82
build.js:110 486 144 81
build.js:110 487 145 80
build.js:110 488 143 78
build.js:110 489 145 75
build.js:110 490 145 74
build.js:110 491 145 74
build.js:110 492 146 73
build.js:110 493 147 71
build.js:110 494 148 69
build.js:110 495 148 69
build.js:110 496 148 69
build.js:110 497 147 69
build.js:110 498 148 67
build.js:110 499 150 65
build.js:110 500 151 63
build.js:110 501 151 63
build.js:110 502 151 59
build.js:110 503 153 57
build.js:110 504 153 56
build.js:110 505 152 55
build.js:110 506 154 53
build.js:110 507 154 51
build.js:110 508 154 49
build.js:110 509 153 49
build.js:110 510 154 49
build.js:110 511 155 48
build.js:110 512 156 47
build.js:110 513 155 47
build.js:110 514 156 46
build.js:110 515 158 43
build.js:110 516 158 43
build.js:110 517 157 43
build.js:110 518 158 42
build.js:110 519 159 41
build.js:110 520 159 41
build.js:110 521 160 42
build.js:110 522 160 42
build.js:110 523 160 42
build.js:110 524 161 41
build.js:110 525 161 41
build.js:110 526 161 41
build.js:110 527 161 41
build.js:110 528 161 42
build.js:110 529 162 40
build.js:110 530 162 39
build.js:110 531 162 37
build.js:110 532 162 36
build.js:110 533 162 36
build.js:110 534 162 36
build.js:110 535 162 38
build.js:110 536 162 40
build.js:110 537 163 39
build.js:110 538 163 39
build.js:110 539 163 38
build.js:110 540 164 37
build.js:110 541 164 38
build.js:110 542 165 37
build.js:110 543 165 38
build.js:110 544 165 38
build.js:110 545 165 38
build.js:110 546 164 38
build.js:110 547 165 38
build.js:110 548 166 37
