p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 NONE 0.15 550 0.35 0.95 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
build.js:110 2 36 222
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 110ms
build.js:110 3 37 222
build.js:110 4 37 223
build.js:110 5 37 225
build.js:110 6 37 226
build.js:110 7 37 228
build.js:110 8 37 229
build.js:110 9 37 230
build.js:110 10 37 230
build.js:110 11 37 230
build.js:110 12 37 230
build.js:110 13 37 232
build.js:110 14 37 233
build.js:110 15 37 234
build.js:110 16 38 233
build.js:110 17 38 234
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 104ms
build.js:110 18 38 237
build.js:110 19 38 238
build.js:110 20 38 239
build.js:110 21 39 238
build.js:110 22 39 239
build.js:110 23 39 240
build.js:110 24 39 240
build.js:110 25 39 241
build.js:110 26 39 241
build.js:110 27 39 240
build.js:110 28 39 240
build.js:110 29 40 239
build.js:110 30 40 239
build.js:110 31 40 242
build.js:110 32 40 241
build.js:110 33 40 241
build.js:110 34 40 241
build.js:110 35 40 241
build.js:110 36 40 242
build.js:110 37 40 242
build.js:110 38 40 242
build.js:110 39 41 241
build.js:110 40 41 242
build.js:110 41 41 242
build.js:110 42 41 242
build.js:110 43 41 242
build.js:110 44 41 242
build.js:110 45 42 241
build.js:110 46 42 241
build.js:110 47 42 243
build.js:110 48 42 245
build.js:110 49 42 245
build.js:110 50 42 245
build.js:110 51 42 245
build.js:110 52 42 245
build.js:110 53 42 245
build.js:110 54 42 245
build.js:110 55 42 245
build.js:110 56 42 245
build.js:110 57 42 248
build.js:110 58 42 248
build.js:110 59 42 249
build.js:110 60 42 249
build.js:110 61 42 249
build.js:110 62 42 249
build.js:110 63 42 249
build.js:110 64 42 249
build.js:110 65 42 250
build.js:110 66 42 250
build.js:110 67 42 250
build.js:110 68 42 250
build.js:110 69 42 250
build.js:110 70 42 250
build.js:110 71 42 250
build.js:110 72 42 250
build.js:110 73 42 249
build.js:110 74 42 250
build.js:110 75 42 250
build.js:110 76 42 250
build.js:110 77 42 250
build.js:110 78 42 250
build.js:110 79 42 250
build.js:110 80 42 250
build.js:110 81 42 250
build.js:110 82 42 251
build.js:110 83 42 251
build.js:110 84 42 252
build.js:110 85 42 252
build.js:110 86 42 252
build.js:110 87 42 252
build.js:110 88 42 252
build.js:110 89 43 251
build.js:110 90 43 251
build.js:110 91 43 251
build.js:110 92 43 251
build.js:110 93 43 251
build.js:110 94 43 251
build.js:110 95 44 250
build.js:110 96 44 250
build.js:110 97 44 250
build.js:110 98 44 250
build.js:110 99 44 250
build.js:110 100 44 250
build.js:110 101 44 250
build.js:110 102 44 250
build.js:110 103 44 250
build.js:110 104 44 249
build.js:110 105 44 250
build.js:110 106 44 250
build.js:110 107 44 250
build.js:110 108 44 250
build.js:110 109 44 250
build.js:110 110 44 250
build.js:110 111 44 250
build.js:110 112 44 249
build.js:110 113 44 249
build.js:110 114 44 248
build.js:110 115 44 248
build.js:110 116 44 248
build.js:110 117 44 248
build.js:110 118 44 248
build.js:110 119 44 249
build.js:110 120 44 249
build.js:110 121 44 250
build.js:110 122 44 250
build.js:110 123 44 250
build.js:110 124 44 250
build.js:110 125 44 250
build.js:110 126 44 250
build.js:110 127 44 250
build.js:110 128 44 249
build.js:110 129 44 248
build.js:110 130 44 249
build.js:110 131 44 249
build.js:110 132 44 249
build.js:110 133 44 249
build.js:110 134 45 248
build.js:110 135 46 247
build.js:110 136 47 246
build.js:110 137 47 246
build.js:110 138 47 246
build.js:110 139 47 246
build.js:110 140 47 247
build.js:110 141 47 247
build.js:110 142 47 247
build.js:110 143 47 246
build.js:110 144 47 245
build.js:110 145 47 245
build.js:110 146 47 245
build.js:110 147 47 245
build.js:110 148 47 243
build.js:110 149 47 243
build.js:110 150 47 243
build.js:110 151 47 243
build.js:110 152 47 242
build.js:110 153 47 241
build.js:110 154 47 240
build.js:110 155 47 240
build.js:110 156 47 239
build.js:110 157 47 238
build.js:110 158 47 240
build.js:110 159 47 240
build.js:110 160 47 239
build.js:110 161 47 238
build.js:110 162 47 238
build.js:110 163 47 236
build.js:110 164 47 237
build.js:110 165 47 236
build.js:110 166 47 236
build.js:110 167 47 236
build.js:110 168 47 236
build.js:110 169 47 236
build.js:110 170 47 236
build.js:110 171 47 236
build.js:110 172 47 236
build.js:110 173 47 236
build.js:110 174 47 236
build.js:110 175 48 235
build.js:110 176 48 235
build.js:110 177 48 235
build.js:110 178 48 235
build.js:110 179 48 235
build.js:110 180 48 234
build.js:110 181 48 234
build.js:110 182 48 235
build.js:110 183 48 236
build.js:110 184 48 236
build.js:110 185 48 236
build.js:110 186 48 236
build.js:110 187 48 236
build.js:110 188 48 236
build.js:110 189 48 237
build.js:110 190 49 236
build.js:110 191 49 236
build.js:110 192 49 236
build.js:110 193 49 236
build.js:110 194 49 238
build.js:110 195 49 238
build.js:110 196 49 238
build.js:110 197 49 238
build.js:110 198 49 238
build.js:110 199 49 237
build.js:110 200 50 236
build.js:110 201 51 236
build.js:110 202 51 236
build.js:110 203 51 236
build.js:110 204 51 236
build.js:110 205 51 237
build.js:110 206 51 240
build.js:110 207 51 240
build.js:110 208 51 240
build.js:110 209 51 239
build.js:110 210 51 240
build.js:110 211 52 239
build.js:110 212 52 239
build.js:110 213 52 239
build.js:110 214 52 239
build.js:110 215 52 239
build.js:110 216 52 240
build.js:110 217 52 240
build.js:110 218 52 241
build.js:110 219 53 239
build.js:110 220 54 240
build.js:110 221 54 240
build.js:110 222 54 239
build.js:110 223 54 239
build.js:110 224 54 238
build.js:110 225 55 237
build.js:110 226 55 237
build.js:110 227 55 237
build.js:110 228 55 237
build.js:110 229 55 236
build.js:110 230 56 235
build.js:110 231 56 235
build.js:110 232 57 235
build.js:110 233 57 235
build.js:110 234 57 234
build.js:110 235 57 234
build.js:110 236 57 235
build.js:110 237 57 236
build.js:110 238 58 236
build.js:110 239 58 236
build.js:110 240 58 237
build.js:110 241 58 237
build.js:110 242 59 235
build.js:110 243 59 235
build.js:110 244 59 234
build.js:110 245 60 232
build.js:110 246 60 232
build.js:110 247 60 232
build.js:110 248 61 231
build.js:110 249 61 230
build.js:110 250 61 230
build.js:110 251 61 231
build.js:110 252 61 231
build.js:110 253 62 230
build.js:110 254 63 229
build.js:110 255 64 228
build.js:110 256 64 228
build.js:110 257 64 228
build.js:110 258 64 229
build.js:110 259 64 229
build.js:110 260 64 230
build.js:110 261 64 230
build.js:110 262 65 229
build.js:110 263 65 228
build.js:110 264 65 228
build.js:110 265 65 229
build.js:110 266 65 229
build.js:110 267 65 228
build.js:110 268 65 228
build.js:110 269 65 228
build.js:110 270 65 228
build.js:110 271 65 228
build.js:110 272 65 229
build.js:110 273 65 229
build.js:110 274 65 229
build.js:110 275 65 229
build.js:110 276 65 229
build.js:110 277 65 229
build.js:110 278 65 229
build.js:110 279 65 229
build.js:110 280 65 229
build.js:110 281 65 228
build.js:110 282 65 228
build.js:110 283 66 228
build.js:110 284 67 228
build.js:110 285 67 228
build.js:110 286 68 227
build.js:110 287 69 227
build.js:110 288 69 227
build.js:110 289 69 227
build.js:110 290 69 227
build.js:110 291 69 227
build.js:110 292 69 228
build.js:110 293 69 228
build.js:110 294 69 229
build.js:110 295 69 228
build.js:110 296 69 230
build.js:110 297 69 229
build.js:110 298 69 229
build.js:110 299 69 229
build.js:110 300 69 229
build.js:110 301 69 228
build.js:110 302 69 229
build.js:110 303 69 229
build.js:110 304 69 229
build.js:110 305 69 230
build.js:110 306 69 230
build.js:110 307 69 229
build.js:110 308 70 228
build.js:110 309 70 228
build.js:110 310 70 228
build.js:110 311 70 228
build.js:110 312 70 228
build.js:110 313 70 227
build.js:110 314 70 227
build.js:110 315 70 227
build.js:110 316 70 227
build.js:110 317 70 227
build.js:110 318 70 226
build.js:110 319 70 226
build.js:110 320 70 226
build.js:110 321 70 226
build.js:110 322 70 226
build.js:110 323 70 227
build.js:110 324 70 227
build.js:110 325 71 226
build.js:110 326 71 226
build.js:110 327 71 226
build.js:110 328 71 226
build.js:110 329 71 226
build.js:110 330 71 225
build.js:110 331 71 225
build.js:110 332 71 225
build.js:110 333 71 225
build.js:110 334 71 225
build.js:110 335 71 225
build.js:110 336 71 224
build.js:110 337 71 224
build.js:110 338 71 224
build.js:110 339 71 224
build.js:110 340 71 223
build.js:110 341 71 223
build.js:110 342 71 221
build.js:110 343 71 221
build.js:110 344 72 220
build.js:110 345 71 220
build.js:110 346 72 219
build.js:110 347 73 216
build.js:110 348 73 217
build.js:110 349 73 217
build.js:110 350 73 217
build.js:110 351 73 216
build.js:110 352 73 216
build.js:110 353 73 216
build.js:110 354 73 217
build.js:110 355 73 217
build.js:110 356 73 217
build.js:110 357 74 216
build.js:110 358 74 216
build.js:110 359 74 215
build.js:110 360 74 214
build.js:110 361 74 214
build.js:110 362 74 213
build.js:110 363 74 213
build.js:110 364 74 215
build.js:110 365 76 213
build.js:110 366 77 211
build.js:110 367 77 211
build.js:110 368 77 211
build.js:110 369 78 210
build.js:110 370 78 211
build.js:110 371 79 211
