p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 OMNI 0.15 550 0.35 0.95 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
build.js:110 2 39 223
build.js:110 3 39 225
build.js:110 4 38 226
build.js:110 5 39 227
build.js:110 6 39 230
build.js:110 7 39 233
build.js:110 8 39 233
build.js:110 9 39 233
build.js:110 10 39 234
build.js:110 11 39 235
build.js:110 12 39 236
build.js:110 13 39 235
build.js:110 14 39 236
build.js:110 15 39 237
build.js:110 16 39 237
build.js:110 17 39 238
build.js:110 18 39 239
build.js:110 19 39 240
build.js:110 20 39 240
build.js:110 21 39 240
build.js:110 22 39 240
build.js:110 23 39 240
build.js:110 24 39 240
build.js:110 25 39 240
build.js:110 26 39 240
build.js:110 27 39 241
build.js:110 28 39 242
build.js:110 29 39 243
build.js:110 30 38 243
build.js:110 31 38 244
build.js:110 32 38 244
build.js:110 33 39 243
build.js:110 34 39 244
build.js:110 35 39 244
build.js:110 36 39 245
build.js:110 37 39 245
build.js:110 38 38 245
build.js:110 39 38 244
build.js:110 40 39 242
build.js:110 41 38 244
build.js:110 42 38 244
build.js:110 43 38 243
build.js:110 44 38 243
build.js:110 45 38 245
build.js:110 46 38 245
build.js:110 47 38 245
build.js:110 48 38 246
build.js:110 49 38 246
build.js:110 50 38 246
build.js:110 51 38 246
build.js:110 52 38 248
build.js:110 53 38 249
build.js:110 54 38 249
build.js:110 55 38 249
build.js:110 56 38 249
build.js:110 57 38 249
build.js:110 58 38 252
build.js:110 59 38 252
build.js:110 60 38 252
build.js:110 61 38 252
build.js:110 62 38 252
build.js:110 63 38 252
build.js:110 64 38 252
build.js:110 65 38 252
build.js:110 66 38 252
build.js:110 67 38 252
build.js:110 68 38 251
build.js:110 69 38 251
build.js:110 70 38 251
build.js:110 71 39 250
build.js:110 72 40 249
build.js:110 73 40 249
build.js:110 74 40 249
build.js:110 75 40 249
build.js:110 76 40 250
build.js:110 77 40 250
build.js:110 78 40 250
build.js:110 79 40 250
build.js:110 80 40 250
build.js:110 81 40 250
build.js:110 82 40 250
build.js:110 83 40 250
build.js:110 84 40 250
build.js:110 85 42 246
build.js:110 86 42 246
build.js:110 87 43 246
build.js:110 88 43 247
build.js:110 89 43 247
build.js:110 90 44 246
build.js:110 91 44 246
build.js:110 92 44 247
build.js:110 93 44 248
build.js:110 94 44 248
build.js:110 95 44 249
build.js:110 96 44 249
​ 97 44 249
​ 98 44 250
​ 99 44 250
​ 100 44 250
​ 101 44 250
​ 102 44 249
​ 103 44 249
​ 104 44 248
​ 105 44 247
​ 106 44 247
​ 107 44 246
​ 108 44 245
​ 109 44 246
​ 110 44 246
​ 111 44 246
​ 112 43 246
​ 113 44 245
​ 114 44 246
​ 115 45 245
​ 116 45 245
​ 117 44 246
​ 118 44 246
​ 119 44 245
​ 120 44 245
​ 121 44 245
​ 122 44 245
​ 123 44 245
​ 124 44 245
​ 125 44 247
​ 126 44 247
​ 127 44 247
​ 128 44 247
​ 129 44 247
​ 130 44 247
​ 131 44 248
​ 132 44 248
​ 133 44 249
​ 134 44 249
​ 135 44 248
​ 136 44 248
​ 137 44 248
​ 138 44 248
​ 139 44 248
​ 140 43 248
​ 141 43 248
​ 142 43 248
​ 143 43 247
​ 144 43 247
​ 145 43 248
​ 146 43 248
​ 147 43 248
​ 148 43 246
​ 149 42 246
​ 150 42 246
​ 151 43 245
​ 152 43 245
​ 153 43 245
​ 154 43 245
​ 155 43 245
​ 156 43 245
​ 157 42 245
​ 158 43 243
​ 159 43 243
​ 160 43 243
​ 161 43 243
​ 162 43 243
​ 163 43 242
​ 164 43 242
​ 165 43 242
​ 166 43 242
​ 167 43 242
​ 168 43 242
​ 169 43 242
​ 170 44 241
​ 171 44 241
​ 172 44 241
​ 173 44 240
​ 174 45 239
​ 175 45 239
​ 176 45 238
​ 177 45 237
​ 178 45 237
​ 179 45 236
​ 180 45 237
​ 181 45 237
​ 182 45 236
​ 183 45 236
​ 184 45 236
​ 185 45 236
​ 186 45 236
​ 187 45 236
​ 188 46 235
​ 189 46 237
​ 190 46 236
​ 191 46 236
​ 192 45 237
​ 193 45 238
​ 194 45 238
​ 195 45 238
​ 196 45 238
​ 197 45 238
​ 198 45 236
​ 199 45 236
​ 200 45 236
​ 201 45 236
​ 202 45 236
​ 203 45 236
​ 204 45 237
​ 205 45 237
​ 206 46 236
​ 207 46 236
​ 208 46 236
​ 209 47 235
​ 210 47 234
​ 211 47 234
​ 212 47 234
​ 213 47 234
​ 214 47 234
​ 215 47 234
​ 216 47 234
​ 217 47 233
​ 218 47 233
​ 219 47 233
​ 220 47 233
​ 221 47 233
​ 222 47 233
​ 223 47 233
​ 224 47 233
​ 225 47 232
​ 226 47 233
​ 227 47 232
​ 228 48 231
​ 229 48 231
​ 230 48 231
​ 231 48 231
​ 232 48 231
​ 233 48 231
​ 234 47 231
​ 235 47 230
​ 236 47 231
​ 237 47 231
​ 238 47 231
​ 239 47 231
​ 240 48 230
​ 241 48 230
