​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.0005 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1 0 0
​ 2 37 210
​ 3 38 209
​ 4 38 209
​ 5 38 209
​ 6 38 209
​ 7 38 209
​ 8 38 209
​ 9 38 209
​ 10 38 208
​ 11 38 207
​ 12 39 204
​ 13 41 202
​ 14 41 201
​ 15 42 200
​ 16 42 200
​ 17 43 199
​ 18 43 200
​ 19 43 199
​ 20 45 197
​ 21 45 197
​ 22 45 197
​ 23 46 196
​ 24 46 195
​ 25 46 195
​ 26 46 194
​ 27 46 194
​ 28 46 193
​ 29 46 194
​ 30 46 194
​ 31 46 194
​ 32 47 192
​ 33 48 191
​ 34 48 191
​ 35 48 190
​ 36 47 190
​ 37 48 189
​ 38 49 188
​ 39 49 188
​ 40 49 188
​ 41 50 186
​ 42 50 185
​ 43 50 184
​ 44 50 184
​ 45 50 184
​ 46 50 184
​ 47 50 184
​ 48 50 184
​ 49 51 183
​ 50 51 181
​ 51 51 181
​ 52 51 181
​ 53 51 180
​ 54 51 180
​ 55 52 179
​ 56 52 179
​ 57 52 179
​ 58 52 179
​ 59 52 179
​ 60 52 179
​ 61 52 178
​ 62 52 177
​ 63 52 177
​ 64 53 176
​ 65 53 176
​ 66 53 175
​ 67 53 174
​ 68 53 174
​ 69 53 173
​ 70 53 173
​ 71 53 172
​ 72 53 172
​ 73 53 171
​ 74 53 172
​ 75 53 172
​ 76 54 171
​ 77 54 171
​ 78 54 171
​ 79 54 171
​ 80 54 171
​ 81 54 171
​ 82 54 171
​ 83 54 171
​ 84 54 171
​ 85 54 170
​ 86 53 169
​ 87 54 168
​ 88 54 168
​ 89 54 168
​ 90 54 168
​ 91 54 167
​ 92 54 167
​ 93 54 166
​ 94 55 165
​ 95 55 165
​ 96 54 165
​ 97 55 164
​ 98 55 164
​ 99 55 164
​ 100 55 163
​ 101 55 163
​ 102 56 161
​ 103 56 161
​ 104 56 161
​ 105 56 160
​ 106 56 160
​ 107 56 160
​ 108 56 160
​ 109 56 160
​ 110 56 161
​ 111 56 161
​ 112 56 161
​ 113 56 161
​ 114 56 161
​ 115 56 161
​ 116 56 160
​ 117 56 160
​ 118 57 159
​ 119 57 159
​ 120 57 159
​ 121 57 159
​ 122 57 157
​ 123 57 157
​ 124 57 156
​ 125 57 156
​ 126 57 156
​ 127 57 155
​ 128 57 155
