p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:58 HGRY 0.15 550 0.35 0.0005 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:112 1 0 0
build.js:112 2 38 209
build.js:112 3 38 209
build.js:112 4 38 209
build.js:112 5 38 208
build.js:112 6 39 207
build.js:112 7 39 207
build.js:112 8 39 207
build.js:112 9 39 206
build.js:112 10 39 205
build.js:112 11 40 204
build.js:112 12 40 204
build.js:112 13 40 204
build.js:112 14 40 205
build.js:112 15 40 205
build.js:112 16 41 204
build.js:112 17 41 204
build.js:112 18 42 203
build.js:112 19 42 202
build.js:112 20 42 202
build.js:112 21 42 202
build.js:112 22 42 202
build.js:112 23 42 202
build.js:112 24 43 201
build.js:112 25 43 201
build.js:112 26 43 201
build.js:112 27 43 201
build.js:112 28 43 201
build.js:112 29 44 200
build.js:112 30 45 199
build.js:112 31 45 198
build.js:112 32 45 198
build.js:112 33 45 198
build.js:112 34 45 198
build.js:112 35 45 198
build.js:112 36 45 199
build.js:112 37 45 199
build.js:112 38 45 198
build.js:112 39 45 197
build.js:112 40 45 195
build.js:112 41 45 195
build.js:112 42 46 194
build.js:112 43 45 194
build.js:112 44 48 191
build.js:112 45 48 190
build.js:112 46 48 190
build.js:112 47 48 190
build.js:112 48 48 189
build.js:112 49 48 189
build.js:112 50 49 188
build.js:112 51 49 188
build.js:112 52 49 188
build.js:112 53 49 187
build.js:112 54 49 187
build.js:112 55 49 187
build.js:112 56 49 187
build.js:112 57 49 186
build.js:112 58 49 186
build.js:112 59 49 186
build.js:112 60 49 185
build.js:112 61 49 185
build.js:112 62 49 185
build.js:112 63 49 185
build.js:112 64 49 185
build.js:112 65 49 185
build.js:112 66 49 185
build.js:112 67 49 185
build.js:112 68 48 185
build.js:112 69 49 184
build.js:112 70 50 183
build.js:112 71 50 183
build.js:112 72 49 183
build.js:112 73 51 180
build.js:112 74 52 179
build.js:112 75 52 179
build.js:112 76 52 179
build.js:112 77 52 179
build.js:112 78 52 179
build.js:112 79 52 179
build.js:112 80 52 179
build.js:112 81 52 179
build.js:112 82 52 179
build.js:112 83 52 178
build.js:112 84 52 179
build.js:112 85 52 179
build.js:112 86 52 178
build.js:112 87 53 177
build.js:112 88 53 177
build.js:112 89 53 177
build.js:112 90 53 177
build.js:112 91 53 177
build.js:112 92 53 177
build.js:112 93 53 177
build.js:112 94 53 177
build.js:112 95 53 175
build.js:112 96 54 173
build.js:112 97 55 173
build.js:112 98 55 172
build.js:112 99 55 172
build.js:112 100 55 172
build.js:112 101 55 172
build.js:112 102 55 172
build.js:112 103 56 171
build.js:112 104 57 169
build.js:112 105 59 167
build.js:112 106 59 167
build.js:112 107 59 167
build.js:112 108 59 167
build.js:112 109 59 166
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 65ms
build.js:112 110 58 167
build.js:112 111 58 166
build.js:112 112 58 166
build.js:112 113 58 166
build.js:112 114 58 165
build.js:112 115 58 166
build.js:112 116 58 166
build.js:112 117 58 166
build.js:112 118 61 164
build.js:112 119 61 164
build.js:112 120 61 163
build.js:112 121 61 163
build.js:112 122 61 163
build.js:112 123 61 163
build.js:112 124 59 162
build.js:112 125 60 161
build.js:112 126 60 161
build.js:112 127 60 161
build.js:112 128 60 161
build.js:112 129 60 161
build.js:112 130 60 161
build.js:112 131 60 161
build.js:112 132 60 161
build.js:112 133 60 161
build.js:112 134 61 160
build.js:112 135 61 160
build.js:112 136 60 159
build.js:112 137 61 158
build.js:112 138 62 156
build.js:112 139 61 157
build.js:112 140 61 157
build.js:112 141 61 157
build.js:112 142 61 158
build.js:112 143 61 158
build.js:112 144 62 157
build.js:112 145 62 157
build.js:112 146 62 157
build.js:112 147 62 157
build.js:112 148 63 156
build.js:112 149 63 156
build.js:112 150 63 157
build.js:112 151 63 157
build.js:112 152 63 158
