p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:58 HGRY 0.15 550 0.35 0.0005 250
p5.js:58331 [Violation] 'load' handler took 158ms
[Violation] Forced reflow while executing JavaScript took 38ms
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:112 1 0 0
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 50ms
build.js:112 2 36 210
build.js:112 3 36 211
build.js:112 4 36 211
build.js:112 5 36 210
build.js:112 6 36 210
build.js:112 7 36 210
build.js:112 8 36 210
build.js:112 9 36 209
build.js:112 10 36 210
build.js:112 11 36 210
build.js:112 12 36 210
build.js:112 13 36 210
build.js:112 14 36 210
build.js:112 15 37 209
build.js:112 16 37 209
build.js:112 17 37 209
build.js:112 18 38 207
build.js:112 19 38 206
build.js:112 20 38 206
build.js:112 21 39 205
build.js:112 22 39 205
build.js:112 23 39 205
build.js:112 24 39 205
build.js:112 25 39 205
build.js:112 26 39 205
build.js:112 27 39 206
build.js:112 28 39 206
build.js:112 29 39 206
build.js:112 30 41 203
build.js:112 31 41 203
build.js:112 32 43 201
build.js:112 33 43 201
build.js:112 34 43 200
build.js:112 35 43 199
build.js:112 36 43 199
build.js:112 37 43 199
build.js:112 38 43 199
build.js:112 39 43 199
build.js:112 40 43 199
build.js:112 41 43 199
build.js:112 42 43 199
build.js:112 43 43 199
build.js:112 44 44 196
build.js:112 45 44 196
build.js:112 46 44 195
build.js:112 47 45 194
build.js:112 48 45 194
build.js:112 49 45 194
build.js:112 50 45 194
build.js:112 51 45 194
build.js:112 52 45 194
build.js:112 53 46 193
build.js:112 54 46 193
build.js:112 55 46 193
build.js:112 56 46 192
build.js:112 57 46 192
build.js:112 58 48 190
build.js:112 59 48 190
build.js:112 60 48 190
build.js:112 61 48 190
build.js:112 62 48 189
build.js:112 63 48 189
build.js:112 64 48 189
build.js:112 65 48 190
build.js:112 66 48 190
build.js:112 67 48 190
build.js:112 68 48 190
build.js:112 69 48 190
build.js:112 70 48 190
build.js:112 71 49 189
build.js:112 72 49 189
build.js:112 73 48 189
build.js:112 74 49 187
build.js:112 75 49 186
build.js:112 76 49 186
build.js:112 77 49 187
build.js:112 78 50 187
build.js:112 79 50 186
build.js:112 80 49 186
build.js:112 81 50 185
build.js:112 82 50 185
build.js:112 83 50 185
build.js:112 84 50 184
build.js:112 85 50 184
build.js:112 86 50 184
build.js:112 87 49 185
build.js:112 88 49 185
build.js:112 89 49 183
build.js:112 90 50 183
build.js:112 91 51 181
build.js:112 92 51 181
build.js:112 93 51 181
build.js:112 94 51 181
build.js:112 95 51 182
build.js:112 96 51 183
build.js:112 97 51 183
build.js:112 98 51 183
build.js:112 99 51 183
build.js:112 100 51 183
build.js:112 101 51 183
build.js:112 102 51 183
build.js:112 103 51 183
build.js:112 104 51 183
build.js:112 105 51 183
build.js:112 106 51 183
build.js:112 107 51 183
build.js:112 108 51 183
build.js:112 109 51 184
build.js:112 110 51 183
build.js:112 111 50 183
build.js:112 112 50 183
build.js:112 113 50 183
build.js:112 114 50 183
build.js:112 115 50 183
build.js:112 116 51 182
build.js:112 117 50 182
build.js:112 118 51 181
build.js:112 119 51 181
build.js:112 120 51 181
build.js:112 121 51 181
build.js:112 122 51 181
build.js:112 123 51 181
build.js:112 124 51 181
build.js:112 125 52 180
build.js:112 126 52 180
build.js:112 127 52 180
build.js:112 128 52 179
build.js:112 129 52 179
build.js:112 130 52 178
build.js:112 131 52 178
build.js:112 132 52 177
build.js:112 133 52 176
build.js:112 134 52 176
build.js:112 135 52 176
build.js:112 136 52 177
build.js:112 137 52 177
build.js:112 138 52 177
build.js:112 139 52 177
build.js:112 140 53 176
build.js:112 141 53 176
build.js:112 142 53 175
build.js:112 143 54 173
build.js:112 144 54 172
build.js:112 145 53 173
build.js:112 146 53 173
build.js:112 147 53 172
build.js:112 148 53 172
build.js:112 149 53 170
build.js:112 150 53 170
build.js:112 151 53 170
build.js:112 152 53 169
build.js:112 153 53 169
build.js:112 154 53 168
build.js:112 155 54 167
build.js:112 156 54 167
build.js:112 157 55 166
build.js:112 158 55 166
build.js:112 159 55 166
build.js:112 160 56 165
build.js:112 161 57 165
build.js:112 162 57 164
build.js:112 163 56 164
build.js:112 164 57 163
build.js:112 165 57 163
build.js:112 166 57 161
build.js:112 167 57 161
build.js:112 168 57 161
build.js:112 169 57 161
build.js:112 170 57 161
build.js:112 171 56 161
build.js:112 172 56 161
build.js:112 173 56 161
build.js:112 174 56 161
build.js:112 175 56 161
build.js:112 176 56 161
build.js:112 177 56 160
build.js:112 178 57 159
build.js:112 179 57 159
build.js:112 180 57 159
build.js:112 181 58 159
build.js:112 182 58 159
build.js:112 183 58 158
build.js:112 184 58 158
build.js:112 185 58 159
build.js:112 186 58 160
build.js:112 187 58 160
build.js:112 188 58 158
build.js:112 189 58 158
build.js:112 190 58 158
build.js:112 191 58 157
build.js:112 192 58 156
build.js:112 193 57 155
build.js:112 194 58 154
build.js:112 195 58 154
build.js:112 196 58 154
build.js:112 197 58 154
build.js:112 198 58 153
build.js:112 199 58 153
build.js:112 200 58 152
build.js:112 201 59 151
build.js:112 202 59 151
build.js:112 203 59 151
build.js:112 204 59 151
build.js:112 205 59 149
build.js:112 206 59 149
build.js:112 207 58 149
build.js:112 208 59 148
build.js:112 209 59 147
build.js:112 210 59 147
build.js:112 211 59 147
build.js:112 212 59 147
build.js:112 213 59 147
build.js:112 214 59 147
build.js:112 215 58 147
build.js:112 216 58 147
build.js:112 217 58 148
build.js:112 218 58 148
build.js:112 219 58 148
build.js:112 220 58 148
build.js:112 221 58 148
build.js:112 222 58 148
build.js:112 223 58 148
build.js:112 224 59 147
build.js:112 225 59 147
build.js:112 226 59 146
build.js:112 227 59 146
build.js:112 228 59 145
build.js:112 229 59 145
build.js:112 230 59 145
build.js:112 231 59 145
build.js:112 232 59 145
build.js:112 233 59 145
build.js:112 234 59 145
build.js:112 235 59 145
build.js:112 236 59 144
build.js:112 237 59 144
build.js:112 238 59 144
