p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:58 HGRY 0.15 550 0.35 0.0005 250
p5.js:58331 [Violation] 'load' handler took 183ms
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:112 1 0 0
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 75ms
build.js:112 2 33 213
build.js:112 3 33 213
build.js:112 4 33 212
build.js:112 5 33 211
build.js:112 6 33 211
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 62ms
build.js:112 7 33 211
build.js:112 8 34 209
build.js:112 9 34 208
build.js:112 10 36 204
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 99ms
build.js:112 11 37 203
build.js:112 12 37 204
build.js:112 13 38 202
build.js:112 14 38 201
build.js:112 15 38 201
build.js:112 16 38 201
build.js:112 17 38 202
build.js:112 18 38 202
build.js:112 19 38 202
build.js:112 20 38 202
build.js:112 21 38 202
build.js:112 22 38 201
build.js:112 23 39 200
build.js:112 24 39 200
build.js:112 25 39 199
build.js:112 26 38 199
build.js:112 27 39 198
build.js:112 28 39 198
build.js:112 29 39 198
build.js:112 30 39 198
build.js:112 31 39 198
build.js:112 32 39 198
build.js:112 33 39 198
build.js:112 34 39 199
build.js:112 35 39 198
build.js:112 36 39 198
build.js:112 37 39 199
build.js:112 38 39 199
build.js:112 39 39 199
build.js:112 40 40 197
build.js:112 41 42 195
build.js:112 42 43 194
build.js:112 43 43 194
build.js:112 44 43 194
build.js:112 45 43 194
build.js:112 46 43 194
build.js:112 47 43 193
build.js:112 48 43 192
build.js:112 49 43 192
build.js:112 50 43 192
build.js:112 51 43 192
build.js:112 52 43 192
build.js:112 53 43 192
build.js:112 54 43 192
build.js:112 55 43 192
build.js:112 56 43 192
build.js:112 57 43 192
build.js:112 58 43 192
build.js:112 59 43 190
build.js:112 60 43 190
build.js:112 61 43 189
build.js:112 62 43 189
build.js:112 63 43 189
build.js:112 64 43 189
build.js:112 65 43 189
build.js:112 66 43 189
build.js:112 67 43 187
