p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:58 NONE 0.15 550 0.35 0.0005 250
p5.js:58331 [Violation] 'load' handler took 212ms
[Violation] Forced reflow while executing JavaScript took 146ms
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:112 1 0 0
build.js:112 2 51 197
build.js:112 3 50 197
build.js:112 4 52 194
build.js:112 5 53 192
build.js:112 6 54 191
build.js:112 7 54 190
build.js:112 8 54 188
build.js:112 9 53 188
build.js:112 10 55 186
build.js:112 11 55 186
build.js:112 12 54 186
build.js:112 13 55 185
build.js:112 14 55 185
build.js:112 15 56 183
build.js:112 16 56 183
build.js:112 17 56 183
build.js:112 18 56 183
build.js:112 19 56 183
build.js:112 20 56 183
build.js:112 21 56 183
build.js:112 22 56 183
build.js:112 23 56 183
build.js:112 24 56 183
build.js:112 25 56 182
build.js:112 26 56 182
build.js:112 27 57 180
build.js:112 28 57 180
build.js:112 29 57 180
build.js:112 30 59 178
build.js:112 31 59 177
build.js:112 32 59 177
build.js:112 33 59 175
build.js:112 34 59 175
build.js:112 35 59 175
build.js:112 36 60 173
build.js:112 37 60 172
build.js:112 38 62 170
build.js:112 39 62 170
build.js:112 40 62 170
build.js:112 41 62 170
build.js:112 42 62 170
build.js:112 43 63 170
build.js:112 44 63 170
build.js:112 45 64 168
build.js:112 46 64 168
build.js:112 47 64 168
build.js:112 48 64 168
build.js:112 49 64 167
build.js:112 50 64 166
build.js:112 51 65 165
build.js:112 52 66 164
build.js:112 53 67 163
build.js:112 54 67 163
build.js:112 55 68 161
build.js:112 56 69 159
build.js:112 57 69 159
build.js:112 58 69 158
build.js:112 59 69 158
build.js:112 60 69 158
build.js:112 61 70 157
build.js:112 62 70 157
build.js:112 63 70 157
build.js:112 64 70 156
build.js:112 65 70 156
build.js:112 66 71 154
build.js:112 67 71 154
build.js:112 68 71 154
build.js:112 69 71 154
build.js:112 70 71 153
build.js:112 71 72 151
build.js:112 72 72 150
build.js:112 73 72 150
build.js:112 74 72 149
build.js:112 75 72 147
build.js:112 76 72 146
build.js:112 77 72 146
build.js:112 78 72 145
build.js:112 79 72 145
build.js:112 80 73 144
build.js:112 81 73 144
build.js:112 82 73 143
build.js:112 83 73 143
build.js:112 84 73 143
build.js:112 85 72 143
build.js:112 86 73 140
build.js:112 87 74 140
build.js:112 88 74 139
build.js:112 89 74 139
build.js:112 90 74 138
build.js:112 91 74 138
build.js:112 92 73 137
build.js:112 93 74 135
build.js:112 94 74 134
build.js:112 95 75 132
build.js:112 96 75 132
build.js:112 97 75 132
build.js:112 98 75 132
build.js:112 99 75 132
build.js:112 100 75 132
build.js:112 101 75 131
build.js:112 102 76 130
build.js:112 103 76 130
build.js:112 104 76 130
build.js:112 105 76 130
build.js:112 106 76 129
build.js:112 107 76 129
build.js:112 108 76 129
build.js:112 109 76 129
build.js:112 110 76 129
build.js:112 111 76 129
build.js:112 112 76 129
build.js:112 113 76 129
build.js:112 114 76 129
build.js:112 115 76 129
build.js:112 116 76 130
build.js:112 117 76 130
build.js:112 118 76 130
build.js:112 119 76 130
build.js:112 120 76 130
build.js:112 121 76 130
build.js:112 122 76 129
build.js:112 123 76 129
build.js:112 124 76 129
build.js:112 125 76 128
build.js:112 126 76 128
build.js:112 127 77 127
build.js:112 128 77 127
build.js:112 129 77 127
build.js:112 130 77 127
build.js:112 131 77 127
build.js:112 132 77 127
build.js:112 133 77 127
build.js:112 134 77 127
build.js:112 135 77 127
build.js:112 136 77 127
build.js:112 137 78 126
build.js:112 138 78 127
build.js:112 139 78 127
build.js:112 140 78 128
build.js:112 141 78 128
build.js:112 142 78 128
build.js:112 143 77 127
build.js:112 144 78 128
build.js:112 145 78 128
build.js:112 146 78 128
build.js:112 147 78 128
build.js:112 148 78 127
build.js:112 149 79 126
build.js:112 150 80 125
build.js:112 151 81 124
build.js:112 152 82 122
build.js:112 153 82 122
build.js:112 154 82 122
build.js:112 155 82 123
build.js:112 156 82 123
build.js:112 157 82 122
build.js:112 158 82 122
build.js:112 159 82 121
build.js:112 160 82 120
build.js:112 161 82 120
build.js:112 162 82 118
build.js:112 163 82 118
build.js:112 164 82 119
build.js:112 165 82 119
build.js:112 166 81 119
build.js:112 167 82 119
build.js:112 168 82 119
build.js:112 169 82 119
build.js:112 170 82 117
build.js:112 171 82 117
build.js:112 172 82 117
build.js:112 173 82 116
build.js:112 174 82 116
build.js:112 175 82 116
build.js:112 176 83 115
build.js:112 177 83 115
build.js:112 178 83 115
build.js:112 179 83 115
build.js:112 180 83 115
build.js:112 181 82 115
build.js:112 182 83 114
build.js:112 183 83 114
build.js:112 184 83 114
build.js:112 185 83 114
build.js:112 186 84 113
build.js:112 187 84 113
build.js:112 188 86 110
build.js:112 189 87 108
build.js:112 190 87 108
build.js:112 191 87 108
build.js:112 192 87 108
build.js:112 193 87 107
build.js:112 194 87 107
build.js:112 195 87 107
build.js:112 196 87 107
build.js:112 197 87 107
build.js:112 198 86 107
build.js:112 199 88 106
build.js:112 200 88 106
build.js:112 201 88 106
build.js:112 202 89 105
build.js:112 203 90 104
build.js:112 204 90 104
build.js:112 205 90 104
build.js:112 206 90 103
build.js:112 207 90 103
build.js:112 208 89 103
build.js:112 209 90 102
build.js:112 210 90 101
build.js:112 211 91 99
build.js:112 212 91 99
build.js:112 213 91 99
build.js:112 214 92 97
build.js:112 215 93 95
build.js:112 216 93 95
build.js:112 217 93 95
build.js:112 218 93 95
build.js:112 219 93 95
build.js:112 220 93 95
build.js:112 221 94 94
build.js:112 222 94 94
build.js:112 223 94 93
build.js:112 224 94 93
build.js:112 225 94 93
build.js:112 226 94 93
build.js:112 227 94 93
build.js:112 228 94 93
build.js:112 229 94 93
build.js:112 230 95 93
build.js:112 231 95 92
build.js:112 232 95 92
build.js:112 233 95 92
build.js:112 234 96 91
build.js:112 235 96 90
build.js:112 236 96 90
build.js:112 237 96 90
build.js:112 238 96 90
build.js:112 239 95 90
build.js:112 240 96 89
build.js:112 241 96 89
build.js:112 242 96 89
build.js:112 243 96 89
build.js:112 244 96 89
build.js:112 245 98 87
build.js:112 246 98 87
build.js:112 247 98 86
build.js:112 248 99 83
build.js:112 249 99 83
build.js:112 250 99 83
