p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:58 NONE 0.15 550 0.35 0.0005 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:112 1 0 0
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 60ms
build.js:112 2 40 210
build.js:112 3 41 209
build.js:112 4 41 208
build.js:112 5 41 208
p5.js:58850 [Violation] 'requestAnimationFrame' handler took 57ms
build.js:112 6 41 208
build.js:112 7 42 206
build.js:112 8 42 206
build.js:112 9 42 206
build.js:112 10 42 206
build.js:112 11 43 205
build.js:112 12 43 205
build.js:112 13 44 204
build.js:112 14 44 204
build.js:112 15 45 202
build.js:112 16 45 202
build.js:112 17 45 202
build.js:112 18 45 202
build.js:112 19 45 203
build.js:112 20 45 203
build.js:112 21 45 203
build.js:112 22 45 202
build.js:112 23 45 202
build.js:112 24 45 201
build.js:112 25 45 201
build.js:112 26 45 201
build.js:112 27 45 201
build.js:112 28 46 199
build.js:112 29 47 197
build.js:112 30 46 196
build.js:112 31 47 195
build.js:112 32 47 194
build.js:112 33 47 194
build.js:112 34 47 194
build.js:112 35 47 193
build.js:112 36 47 193
build.js:112 37 47 193
build.js:112 38 47 193
build.js:112 39 47 193
build.js:112 40 47 193
build.js:112 41 47 194
build.js:112 42 47 194
build.js:112 43 47 193
build.js:112 44 47 191
build.js:112 45 47 192
build.js:112 46 47 192
build.js:112 47 47 192
build.js:112 48 47 193
build.js:112 49 48 192
build.js:112 50 48 192
build.js:112 51 48 192
build.js:112 52 48 192
build.js:112 53 48 192
build.js:112 54 49 191
build.js:112 55 49 191
build.js:112 56 49 191
build.js:112 57 49 191
build.js:112 58 49 191
build.js:112 59 50 190
build.js:112 60 50 190
build.js:112 61 50 190
build.js:112 62 50 190
build.js:112 63 50 190
build.js:112 64 50 188
build.js:112 65 51 186
build.js:112 66 51 186
build.js:112 67 51 186
build.js:112 68 51 186
build.js:112 69 51 186
build.js:112 70 51 185
build.js:112 71 51 184
build.js:112 72 51 184
build.js:112 73 51 184
build.js:112 74 51 184
build.js:112 75 51 184
build.js:112 76 51 184
build.js:112 77 53 181
build.js:112 78 53 182
build.js:112 79 53 182
build.js:112 80 53 182
build.js:112 81 53 182
build.js:112 82 53 183
build.js:112 83 53 183
build.js:112 84 53 183
build.js:112 85 54 182
build.js:112 86 54 182
build.js:112 87 54 182
build.js:112 88 54 182
build.js:112 89 54 182
build.js:112 90 54 182
build.js:112 91 54 182
build.js:112 92 54 182
build.js:112 93 54 181
build.js:112 94 54 181
build.js:112 95 54 181
build.js:112 96 55 179
build.js:112 97 56 178
build.js:112 98 56 178
build.js:112 99 56 178
build.js:112 100 56 178
build.js:112 101 56 178
build.js:112 102 56 178
build.js:112 103 56 178
build.js:112 104 56 178
build.js:112 105 56 178
build.js:112 106 56 178
build.js:112 107 56 176
build.js:112 108 56 176
build.js:112 109 56 176
build.js:112 110 56 176
build.js:112 111 56 176
build.js:112 112 56 176
build.js:112 113 56 175
build.js:112 114 56 174
build.js:112 115 56 174
build.js:112 116 56 173
build.js:112 117 57 172
build.js:112 118 58 172
build.js:112 119 58 171
build.js:112 120 58 169
build.js:112 121 58 168
build.js:112 122 58 168
build.js:112 123 58 168
build.js:112 124 58 168
build.js:112 125 58 168
build.js:112 126 58 168
build.js:112 127 58 168
build.js:112 128 58 168
build.js:112 129 57 168
build.js:112 130 58 167
build.js:112 131 58 167
build.js:112 132 58 167
build.js:112 133 58 167
build.js:112 134 58 167
build.js:112 135 58 167
build.js:112 136 58 167
build.js:112 137 58 167
build.js:112 138 58 167
build.js:112 139 58 168
build.js:112 140 59 166
build.js:112 141 60 165
build.js:112 142 60 164
build.js:112 143 60 163
build.js:112 144 60 163
build.js:112 145 60 163
build.js:112 146 60 163
build.js:112 147 60 163
build.js:112 148 60 162
build.js:112 149 62 159
build.js:112 150 62 159
build.js:112 151 62 159
build.js:112 152 62 159
build.js:112 153 62 158
build.js:112 154 62 158
build.js:112 155 62 158
build.js:112 156 62 158
build.js:112 157 62 157
build.js:112 158 62 157
build.js:112 159 62 157
build.js:112 160 62 156
build.js:112 161 63 155
build.js:112 162 63 155
build.js:112 163 65 153
build.js:112 164 65 152
build.js:112 165 66 151
build.js:112 166 66 151
build.js:112 167 66 152
build.js:112 168 67 151
build.js:112 169 68 150
build.js:112 170 68 150
build.js:112 171 68 150
build.js:112 172 69 149
build.js:112 173 69 149
build.js:112 174 69 149
build.js:112 175 70 148
build.js:112 176 70 148
build.js:112 177 70 146
build.js:112 178 70 147
build.js:112 179 70 147
build.js:112 180 70 147
build.js:112 181 70 146
build.js:112 182 70 146
build.js:112 183 70 146
build.js:112 184 69 146
build.js:112 185 70 145
build.js:112 186 70 144
build.js:112 187 70 142
build.js:112 188 70 141
build.js:112 189 70 142
build.js:112 190 70 142
build.js:112 191 70 142
build.js:112 192 70 142
build.js:112 193 70 142
build.js:112 194 69 142
build.js:112 195 70 141
build.js:112 196 70 141
build.js:112 197 70 141
build.js:112 198 70 141
build.js:112 199 70 141
build.js:112 200 70 141
build.js:112 201 70 140
build.js:112 202 70 140
build.js:112 203 70 140
build.js:112 204 70 140
build.js:112 205 71 139
build.js:112 206 72 138
build.js:112 207 72 138
build.js:112 208 72 138
build.js:112 209 71 139
build.js:112 210 72 138
build.js:112 211 73 137
build.js:112 212 73 136
build.js:112 213 73 136
build.js:112 214 73 135
build.js:112 215 73 135
build.js:112 216 74 134
build.js:112 217 74 134
build.js:112 218 74 134
build.js:112 219 74 134
build.js:112 220 74 134
build.js:112 221 74 134
build.js:112 222 74 134
build.js:112 223 75 132
build.js:112 224 75 132
build.js:112 225 75 132
build.js:112 226 75 131
build.js:112 227 75 131
build.js:112 228 75 131
build.js:112 229 75 131
build.js:112 230 75 130
build.js:112 231 75 130
build.js:112 232 75 130
build.js:112 233 76 129
build.js:112 234 76 128
build.js:112 235 77 127
build.js:112 236 78 126
build.js:112 237 78 126
build.js:112 238 78 125
build.js:112 239 79 124
build.js:112 240 79 124
build.js:112 241 79 123
build.js:112 242 79 123
build.js:112 243 79 123
build.js:112 244 79 123
build.js:112 245 80 122
build.js:112 246 81 121
build.js:112 247 81 120
build.js:112 248 81 120
build.js:112 249 81 120
build.js:112 250 81 120
build.js:112 251 81 120
build.js:112 252 81 120
build.js:112 253 81 121
build.js:112 254 81 121
build.js:112 255 81 120
build.js:112 256 81 119
build.js:112 257 82 117
build.js:112 258 82 117
build.js:112 259 82 117
build.js:112 260 82 117
build.js:112 261 82 117
build.js:112 262 82 117
build.js:112 263 82 117
build.js:112 264 82 117
build.js:112 265 82 117
build.js:112 266 82 117
build.js:112 267 83 116
build.js:112 268 83 116
build.js:112 269 83 114
build.js:112 270 83 114
build.js:112 271 83 114
build.js:112 272 84 113
build.js:112 273 85 112
build.js:112 274 85 112
build.js:112 275 85 112
build.js:112 276 84 112
build.js:112 277 85 111
build.js:112 278 85 110
build.js:112 279 85 110
build.js:112 280 85 110
build.js:112 281 85 110
build.js:112 282 85 109
build.js:112 283 85 109
build.js:112 284 85 108
build.js:112 285 85 108
build.js:112 286 85 106
build.js:112 287 85 106
build.js:112 288 85 106
build.js:112 289 84 106
build.js:112 290 85 105
build.js:112 291 85 105
build.js:112 292 85 105
build.js:112 293 85 104
build.js:112 294 85 104
build.js:112 295 86 103
build.js:112 296 86 103
build.js:112 297 86 103
build.js:112 298 86 103
build.js:112 299 86 103
build.js:112 300 86 103
build.js:112 301 87 102
build.js:112 302 87 102
build.js:112 303 87 102
build.js:112 304 87 101
build.js:112 305 87 101
build.js:112 306 87 101
build.js:112 307 87 101
build.js:112 308 87 101
build.js:112 309 88 100
build.js:112 310 88 100
build.js:112 311 88 101
build.js:112 312 88 101
build.js:112 313 87 100
build.js:112 314 88 99
build.js:112 315 88 98
build.js:112 316 88 98
build.js:112 317 88 100
build.js:112 318 88 100
build.js:112 319 88 100
build.js:112 320 88 101
build.js:112 321 88 101
build.js:112 322 88 101
build.js:112 323 88 101
build.js:112 324 88 101
build.js:112 325 88 100
